uid,pid,ptm,pen,desc,cat,pey,act
66925,741574,KC,TM-2850,Defensive Pass Interference,5,12,A
66926,741575,NE,NS-0500,Offensive Holding,2,0,O
66927,741575,KC,AB-0100,Defensive Holding,5,0,O
66928,741586,KC,DF-1350,Defensive Offside,4,5,A
66929,741607,KC,DS-3162,12 On-field,3,5,A
66930,741612,NE,BK-0950,Unnecessary Roughness,6,15,A
66931,741627,KC,TM-2850,Defensive Holding,5,3,A
66932,741636,KC,DT-0850,Interference with Opportunity to Catch,6,15,A
66933,741640,KC,FZ-0100,Offensive Holding,2,9,A
66934,741641,KC,EF-0050,Offensive Holding,2,4,A
66935,741652,NE,MB-5250,Defensive Pass Interference,5,20,A
66936,741660,KC,BW-2750,Offensive Holding,2,10,A
66937,741670,KC,DS-3162,Unnecessary Roughness,6,15,A
66938,741685,KC,TM-2850,Defensive Holding,5,5,A
66939,741687,KC,TM-2850,Defensive Pass Interference,5,26,A
66940,741692,KC,TK-0150,Taunting,6,10,A
66941,741694,KC,LD-1000,Offensive Holding,2,0,D
66942,741695,NE,BB-2250,Running Into the Kicker,6,5,A
66943,741696,NE,CM-0250,Running Into the Kicker,6,5,A
66944,741698,KC,PG-0050,Defensive Holding,5,0,D
66945,741703,NE,TB-2300,Illegal Forward Pass,3,5,A
66946,741706,KC,BW-2750,False Start,1,5,A
66947,741720,KC,AS-1600,Delay of Game,3,5,A
66948,741740,KC,FZ-0100,Illegal Block Above the Waist,7,10,A
66949,741751,NE,,12 On-field,3,5,A
66950,741761,ARI,DJ-1325,Offensive Pass Interference,2,0,D
66951,741774,DET,DW-1550,Unnecessary Roughness,6,14,A
66952,741777,DET,MS-4100,Intentional Grounding,3,9,A
66953,741782,DET,AZ-0200,Leaping,8,6,A
66954,741793,DET,KG-0650,False Start,1,5,A
66955,741794,ARI,PP-0400,Defensive Holding,5,0,D
66956,741803,ARI,MI-0200,Low Block,7,15,A
66957,741805,DET,TL-0300,Offensive Holding,2,10,A
66958,741831,DET,NL-0250,Defensive Pass Interference,5,3,A
66959,741858,DET,TW-3250,Unnecessary Roughness,6,15,A
66960,741858,DET,DH-2150,Defensive Pass Interference,5,0,D
66961,741865,ARI,JG-3700,Offensive Holding,2,10,A
66962,741875,DET,SL-0937,Unsportsmanlike Conduct,6,0,O
66963,741875,ARI,KM-0425,Unsportsmanlike Conduct,6,0,O
66964,741884,ARI,JV-0300,False Start,1,5,A
66965,741889,DET,TL-0300,Illegal Block Above the Waist,7,10,A
66966,741893,ARI,HR-0050,Illegal Use of Hands,5,0,D
66967,741896,ARI,CP-1300,Defensive Holding,5,5,A
66968,741899,DET,MJ-2250,Offensive Pass Interference,2,0,D
66969,741904,ARI,JB-6950,Offensive Pass Interference,2,10,A
66970,741905,ARI,AS-0920,Offensive Holding,2,0,D
66971,741917,DET,JD-0650,Unnecessary Roughness,6,15,A
66972,741921,ARI,MI-0200,Offensive Holding,2,10,A
66973,741927,DET,JD-0650,Defensive Pass Interference,5,13,A
66974,741934,ATL,KI-0150,Illegal Block Above the Waist,7,8,A
66975,741948,CHI,CW-1875,Illegal Use of Hands,2,10,A
66976,741970,ATL,CG-1450,Unsportsmanlike Conduct,6,15,A
66977,741983,ATL,JM-1450,Offensive Holding,2,10,A
66978,741993,ATL,VB-0075,Defensive Holding,5,5,A
66979,742023,CHI,AH-3050,Roughing the Passer,6,15,A
66980,742026,ATL,AL-0700,Offensive Holding,2,10,A
66981,742033,ATL,DJ-2450,Unnecessary Roughness,6,15,A
66982,742036,CHI,CW-1875,Offensive Holding,2,10,A
66983,742040,ATL,RA-0650,Offensive Holding,2,5,A
66984,742051,ATL,RA-0650,Defensive Holding,5,5,A
66985,742063,CHI,MC-2570,Defensive Holding,5,5,A
66986,742087,CIN,BL-0100,False Start,1,5,A
66987,742092,CIN,CO-0350,Offensive Holding,2,0,D
66988,742095,CIN,PS-0300,Encroachment,4,5,A
66989,742097,CIN,DK-0750,Defensive Holding,5,5,A
66990,742102,BAL,RJ-0850,Offensive Holding,2,10,A
66991,742115,BAL,CM-3250,Face Mask,6,15,A
66992,742118,BAL,RS-2650,False Start,1,5,A
66993,742122,CIN,GB-0350,Face Mask,6,4,A
66994,742138,CIN,JF-1750,Offensive Holding,2,10,A
66995,742146,BAL,NB-0450,Offensive Holding,2,10,A
66996,742163,BAL,RJ-0850,Offensive Holding,2,10,A
66997,742167,BAL,JH-6500,False Start,1,5,A
66998,742178,CIN,AB-1650,Unnecessary Roughness,6,15,A
66999,742187,CIN,WJ-0150,Defensive Pass Interference,5,7,A
67000,742190,CIN,NV-0200,Defensive Holding,5,5,A
67001,742199,BAL,CM-2675,Offensive Holding,2,10,A
67002,742203,BAL,JF-1900,Delay of Game,3,5,A
67003,742214,BAL,JF-1900,Delay of Game,3,5,A
67004,742219,BAL,BC-0500,Illegal Use of Hands,5,5,A
67005,742220,CIN,JF-1750,Offensive Holding,2,10,A
67006,742227,BAL,RJ-0850,Offensive Holding,2,0,D
67007,742230,BAL,BU-0150,Illegal Use of Hands,5,5,A
67008,742241,JAC,ML-1500,False Start,1,5,A
67009,742274,JAC,AC-0250,Offensive Holding,2,10,A
67010,742276,HOU,BC-3100,Defensive Pass Interference,5,9,A
67011,742282,JAC,TG-0950,Defensive Holding,5,5,A
67012,742287,HOU,JC-3350,Defensive Offside,4,5,A
67013,742305,HOU,DR-0625,Roughing the Passer,6,15,A
67014,742307,HOU,DR-0625,Defensive Holding,5,5,A
67015,742317,JAC,AB-2250,Defensive Pass Interference,5,9,A
67016,742318,JAC,AB-2250,Defensive Pass Interference,5,13,A
67017,742336,HOU,DH-3950,Offensive Pass Interference,2,10,A
67018,742338,JAC,YN-0100,Roughing the Passer,6,15,A
67019,742341,JAC,DF-1481,Illegal Use of Hands,5,4,A
67020,742347,HOU,KJ-0650,Defensive Pass Interference,5,20,A
67021,742363,JAC,AB-2250,Defensive Pass Interference,5,8,A
67022,742390,JAC,MJ-0030,Neutral Zone,4,5,A
67023,742393,JAC,YN-0100,Roughing the Passer,6,15,A
67024,742394,HOU,BG-0500,Offensive Holding,2,10,A
67025,742397,HOU,XS-0100,Offensive Holding,2,10,A
67026,742404,HOU,EP-0550,Offensive Holding,2,10,A
67027,742415,BUF,RI-0100,Offensive Holding,2,10,A
67028,742423,NYJ,MP-0875,Defensive Holding,5,3,A
67029,742426,NYJ,DL-0550,Unnecessary Roughness,6,15,A
67030,742432,BUF,CC-2100,False Start,1,5,A
67031,742438,NYJ,ET-0375,Offensive Holding,2,10,A
67032,742441,BUF,TE-0325,Illegal Block Above the Waist,7,0,D
67033,742441,BUF,MM-3168,Illegal Block Above the Waist,7,10,A
67034,742469,BUF,JM-4950,Offensive Holding,2,10,A
67035,742476,BUF,AW-0550,Defensive Holding,5,5,A
67036,742484,NYJ,MC-1350,Defensive Pass Interference,5,24,A
67037,742525,NYJ,AS-3550,Offensive Pass Interference,2,0,D
67038,742543,NYJ,KB-0750,Offensive Holding,2,0,D
67039,742557,NYJ,BW-2670,Illegal Use of Hands,2,10,A
67040,742565,BUF,RI-0100,Offensive Holding,2,10,A
67041,742598,OAK,MC-2900,Offensive Pass Interference,2,10,A
67042,742600,TEN,AJ-0050,Defensive Pass Interference,5,24,A
67043,742654,OAK,XW-0300,Illegal Block Above the Waist,7,9,A
67044,742658,TEN,EW-0500,Illegal Block Above the Waist,7,10,A
67045,742669,OAK,RH-3200,Illegal Use of Hands,2,10,A
67046,742671,TEN,BT-0950,Running Into the Kicker,6,5,A
67047,742683,TEN,DB-0975,Offside on Free Kick,3,5,A
67048,742708,OAK,BI-0150,Defensive Offside,4,5,A
67049,742709,OAK,BI-0150,Unnecessary Roughness,6,15,A
67050,742727,TEN,JC-4050,False Start,1,5,A
67051,742752,PHI,JP-2400,Illegal Block Above the Waist,7,10,A
67052,742758,WAS,JR-1150,Offensive Holding,2,10,A
67053,742774,WAS,DS-5150,Defensive Offside,4,0,D
67054,742790,PHI,BC-0700,False Start,1,5,A
67055,742793,PHI,WS-0650,Chop Block,7,15,A
67056,742823,WAS,RA-1175,Defensive Offside,4,5,A
67057,742824,PHI,CW-1425,Delay of Game,3,5,A
67058,742832,PHI,NB-0500,Defensive Holding,5,5,A
67059,742837,PHI,FC-0400,Encroachment,4,5,A
67060,742851,PHI,CW-1425,Intentional Grounding,3,16,A
67061,742854,PHI,JW-0525,Unnecessary Roughness,6,15,A
67062,742874,WAS,JR-1150,Offensive Pass Interference,2,0,D
67063,742897,CLE,JT-1600,False Start,1,5,A
67064,742903,CLE,DN-1225,Offensive Holding,2,10,A
67065,742910,PIT,JS-4750,Offensive Holding,2,10,A
67066,742912,PIT,VM-0250,Offensive Holding,2,10,A
67067,742926,PIT,SD-0250,Defensive Pass Interference,5,21,A
67068,742934,PIT,BR-1100,Delay of Game,3,5,A
67069,742939,PIT,RS-0962,Unnecessary Roughness,6,15,A
67070,742945,CLE,JM-3950,Defensive Holding,5,5,A
67071,742963,PIT,DH-2800,Offensive Holding,2,9,A
67072,742964,PIT,LB-0250,Illegal Peelback,8,4,A
67073,742992,CLE,JT-0850,Defensive Pass Interference,5,41,A
67074,743001,PIT,WG-0500,Unnecessary Roughness,6,15,A
67075,743002,PIT,AB-3875,Defensive Holding,5,5,A
67076,743008,PIT,TW-1137,Unnecessary Roughness,6,15,A
67077,743025,PIT,JS-4750,Offensive Holding,2,10,A
67078,743037,PIT,JW-3050,Unnecessary Roughness,6,15,A
67079,743041,PIT,MP-1900,Offensive Holding,2,10,A
67080,743061,LA,MB-0650,Defensive Holding,5,5,A
67081,743066,IND,DG-1450,False Start,1,5,A
67082,743078,LA,RH-1250,Offensive Holding,2,10,A
67083,743079,LA,TH-1550,False Start,1,5,A
67084,743081,IND,CM-2425,Illegal Block Above the Waist,7,6,A
67085,743085,LA,AW-1100,False Start,1,5,A
67086,743087,LA,JS-7200,False Start,1,5,A
67087,743089,LA,JB-6725,Offensive Holding,2,0,D
67088,743132,LA,,Offensive Holding,2,0,D
67089,743140,IND,HR-0100,Defensive Holding,5,5,A
67090,743151,IND,JV-0600,Offensive Holding,2,0,D
67091,743155,LA,CK-1300,Face Mask,6,0,D
67092,743159,IND,DM-2775,Face Mask,6,0,D
67093,743160,LA,CL-0987,Offensive Holding,2,10,A
67094,743175,LA,TH-1550,Offensive Holding,2,10,A
67095,743189,IND,MH-3750,Encroachment,4,4,A
67096,743211,SF,,Illegal Formation,3,5,A
67097,743214,SF,BF-1500,False Start,1,5,A
67098,743235,SF,TB-3250,False Start,1,5,A
67099,743237,CAR,JC-1750,Illegal Block Above the Waist,7,10,A
67100,743243,SF,,Illegal Formation,3,0,D
67101,743243,SF,DK-0600,Offensive Holding,2,10,A
67102,743246,CAR,BJ-0500,Offensive Holding,2,10,A
67103,743248,SF,JT-0650,Unnecessary Roughness,6,15,A
67104,743250,SF,ST-0525,Defensive Offside,4,5,A
67105,743277,CAR,RS-0975,False Start,1,5,A
67106,743290,SF,RA-1350,Defensive Pass Interference,5,4,A
67107,743315,CAR,DW-4750,Defensive Holding,5,0,D
67108,743319,SF,BH-1900,Delay of Game,3,5,A
67109,743322,CAR,MK-0150,Offensive Holding,2,10,A
67110,743324,SF,RA-1350,Face Mask,6,15,A
67111,743331,SF,GK-0075,False Start,1,5,A
67112,743332,CAR,CJ-1300,Defensive Holding,5,5,A
67113,743356,SEA,JL-0230,Defensive Pass Interference,5,5,A
67114,743359,GB,RC-1500,Taunting,6,15,A
67115,743360,GB,AR-1300,Delay of Game,3,5,A
67116,743364,SEA,JL-0230,Disqualification,6,0,D
67117,743364,SEA,CA-1300,Illegal Block Above the Waist,7,10,A
67118,743388,SEA,SG-1600,Defensive Holding,5,5,A
67119,743392,GB,ME-0550,False Start,1,5,A
67120,743396,GB,DH-4000,Defensive Holding,5,0,D
67121,743404,SEA,TM-0150,Illegal Block Above the Waist,7,10,A
67122,743418,GB,JV-0550,Delay of Game,3,0,D
67123,743427,GB,DH-4000,Running Into the Kicker,6,0,D
67124,743431,GB,JE-1000,Offensive Holding,2,10,A
67125,743434,SEA,DB-0950,Defensive Offside,4,5,A
67126,743444,SEA,LW-1450,False Start,1,5,A
67127,743446,GB,NP-0130,Defensive Offside,4,5,A
67128,743457,GB,JE-1000,Offensive Holding,2,10,A
67129,743466,SEA,TG-0350,12 On-field,3,0,D
67130,743468,GB,JJ-4582,Offside on Free Kick,3,5,A
67131,743497,GB,MB-1800,Offensive Pass Interference,2,0,O
67132,743497,SEA,RS-1000,Defensive Holding,5,0,O
67133,743501,SEA,MB-1900,Defensive Offside,4,5,A
67134,743504,GB,MB-1800,Unnecessary Roughness,6,15,A
67135,743505,SEA,MB-1900,Defensive Offside,4,5,A
67136,743505,SEA,SG-1600,Defensive Holding,5,0,D
67137,743537,NYG,JJ-2100,Offensive Holding,2,0,D
67138,743550,DAL,LC-0825,Offensive Holding,2,10,A
67139,743554,NYG,CM-3450,Offensive Holding,2,10,A
67140,743569,NYG,WR-0450,Ineligible Downfield Pass,3,5,A
67141,743573,DAL,BJ-2350,Offensive Holding,2,10,A
67142,743578,NYG,JJ-1550,Defensive Pass Interference,5,21,A
67143,743623,NYG,,12 On-field,3,5,A
67144,743626,DAL,MC-2150,Roughing the Passer,6,15,A
67145,743637,DAL,TS-2700,Offensive Holding,2,10,A
67146,743646,DAL,TS-2700,False Start,1,5,A
67147,743661,NYG,EF-0075,Offensive Holding,2,9,A
67148,743667,NYG,JA-0245,False Start,1,5,A
67149,743671,NO,LW-0350,False Start,1,5,A
67150,743673,MIN,LJ-1700,Face Mask,6,15,A
67151,743680,NO,AP-0450,Offensive Holding,2,10,A
67152,743690,NO,MW-2275,Unnecessary Roughness,6,15,A
67153,743692,NO,AA-0552,Unnecessary Roughness,6,15,A
67154,743707,MIN,MR-0645,Offensive Holding,2,10,A
67155,743712,MIN,TJ-1900,Roughing the Passer,6,15,A
67156,743731,MIN,EG-0900,Defensive Offside,4,5,A
67157,743741,NO,KV-0050,Unnecessary Roughness,6,2,A
67158,743742,MIN,NE-0225,False Start,1,5,A
67159,743750,NO,DH-1425,Defensive Pass Interference,5,0,D
67160,743760,NO,SK-0150,Offensive Holding,2,0,D
67161,743772,MIN,TW-1187,Defensive Pass Interference,5,0,D
67162,743781,NO,AO-0370,Illegal Use of Hands,5,5,A
67163,743812,MIN,XR-0100,Defensive Holding,5,0,D
67164,743834,LAC,MS-2300,False Start,1,5,A
67165,743839,LAC,TW-2856,Player Out of Bounds on Punt,3,5,A
67166,743852,LAC,JB-4450,Defensive Offside,4,0,D
67167,743860,DEN,BR-1050,Defensive Pass Interference,5,40,A
67168,743900,DEN,GB-0650,Offensive Holding,2,0,D
67169,743910,DEN,,Illegal Shift,3,5,A
67170,743948,LAC,KA-0650,Taunting,6,15,A
67171,743956,LAC,MI-0150,Roughing the Passer,6,15,A
67172,743974,DEN,BR-1050,Defensive Pass Interference,5,17,A
67173,743986,CIN,TJ-1150,Illegal Block Above the Waist,7,10,A
67174,743988,CIN,JF-1750,Illegal Use of Hands,2,0,D
67175,743989,CIN,JS-2050,False Start,1,5,A
67176,743991,HOU,,Illegal Formation,3,0,D
67177,743995,HOU,JC-3350,Defensive Offside,4,5,A
67178,744006,CIN,,Illegal Formation,3,5,A
67179,744010,HOU,EB-0550,False Start,1,5,A
67180,744043,HOU,JT-3000,Offensive Holding,2,6,A
67181,744074,HOU,ZC-0300,Neutral Zone,4,5,A
67182,744078,CIN,TE-0300,Illegal Touch Pass,3,0,A
67183,744086,CIN,DD-0950,Defensive Pass Interference,5,6,A
67184,744107,HOU,BP-0575,Offensive Holding,2,7,A
67185,744110,HOU,BM-2350,Unnecessary Roughness,6,8,A
67186,744118,HOU,CC-1900,Offensive Holding,2,10,A
67187,744119,CIN,AJ-1200,Defensive Pass Interference,5,14,A
67188,744127,HOU,DH-3950,Offensive Pass Interference,2,10,A
67189,744137,CIN,JF-1750,False Start,1,5,A
67190,744139,HOU,JD-0350,False Start,1,5,A
67191,744162,ARI,RG-2375,Leverage,8,6,A
67192,744184,ARI,AE-0750,Illegal Motion,3,0,D
67193,744190,IND,JG-1050,Defensive Holding,5,0,O
67194,744190,ARI,BW-2040,Offensive Holding,2,0,O
67195,744193,ARI,TN-0550,Offensive Holding,2,10,A
67196,744204,ARI,EB-1275,False Start,1,5,A
67197,744210,ARI,RN-1275,Encroachment,4,5,A
67198,744213,ARI,JB-8700,Neutral Zone,4,5,A
67199,744226,IND,AC-1200,Offensive Holding,2,10,A
67200,744253,IND,CM-2425,Offensive Holding,2,10,A
67201,744261,IND,JV-0600,False Start,1,5,A
67202,744267,IND,JM-4150,False Start,1,5,A
67203,744272,ARI,RF-0725,Offensive Holding,2,10,A
67204,744278,IND,JS-2100,Roughing the Passer,6,15,A
67205,744282,IND,JH-0106,False Start,1,5,A
67206,744286,IND,KM-2650,Unnecessary Roughness,6,15,A
67207,744288,IND,JS-2100,Defensive Offside,4,0,D
67208,744306,IND,AC-1200,Offensive Holding,2,0,D
67209,744310,IND,QW-0300,12 On-field,3,5,A
67210,744363,BUF,,Unsportsmanlike Conduct,6,11,A
67211,744369,CAR,CN-0500,Delay of Game,3,5,A
67212,744370,CAR,DW-3450,Offensive Holding,2,10,A
67213,744379,BUF,JM-4550,Illegal Use of Hands,2,8,A
67214,744386,CAR,DW-3450,Offensive Holding,2,10,A
67215,744393,CAR,CJ-1300,Defensive Offside,4,5,A
67216,744399,CAR,JS-6700,Delay of Game,3,5,A
67217,744409,CAR,CN-0500,Delay of Game,3,5,A
67218,744411,BUF,TE-0325,Offensive Holding,2,10,A
67219,744423,CAR,CM-1225,Chop Block,7,0,D
67220,744447,BUF,EG-0050,Defensive Pass Interference,5,5,A
67221,744460,BUF,AH-3600,Offensive Pass Interference,2,10,A
67222,744469,CHI,DT-1950,Defensive Holding,5,5,A
67223,744497,CHI,QD-0100,Defensive Holding,5,0,D
67224,744499,CHI,TG-0450,Unnecessary Roughness,6,12,A
67225,744503,CHI,BM-0360,Offensive Holding,2,10,A
67226,744511,CHI,DT-1950,Defensive Holding,5,5,A
67227,744517,CHI,WY-0300,Defensive Holding,5,2,A
67228,744543,TB,,Illegal Shift,3,5,A
67229,744561,CHI,CL-0862,Offensive Holding,2,10,A
67230,744566,CHI,JB-7450,Defensive Offside,4,5,A
67231,744580,TB,JS-7450,Offensive Holding,2,10,A
67232,744584,CHI,DB-4387,Offensive Holding,2,10,A
67233,744591,TB,CC-4000,Unnecessary Roughness,6,14,A
67234,744615,TB,CM-1600,Neutral Zone,4,5,A
67235,744627,CLE,DK-0875,Delay of Game,3,5,A
67236,744642,CLE,SC-0775,False Start,1,5,A
67237,744649,CLE,CK-0850,Unnecessary Roughness,6,4,A
67238,744653,CLE,KB-1900,Offensive Pass Interference,2,10,A
67239,744654,CLE,SD-0534,Illegal Formation,3,0,D
67240,744667,BAL,JS-4300,Defensive Holding,5,5,A
67241,744682,BAL,,12 On-field,3,5,A
67242,744692,CLE,DN-1225,Unnecessary Roughness,6,7,A
67243,744693,CLE,SC-0950,Offensive Holding,2,0,D
67244,744696,CLE,BB-1650,False Start,1,4,A
67245,744697,BAL,PO-0175,Offensive Holding,2,10,A
67246,744706,CLE,SC-0950,False Start,1,5,A
67247,744719,CLE,IC-0050,Defensive Offside,4,5,A
67248,744723,BAL,MJ-2700,Defensive Offside,4,5,A
67249,744737,CLE,DK-0875,Delay of Game,3,5,A
67250,744756,BAL,JS-4300,Illegal Use of Hands,5,5,A
67251,744770,BAL,TS-3500,Neutral Zone,4,5,A
67252,744774,CLE,CN-0250,Encroachment,4,5,A
67253,744779,BAL,TB-1150,Offensive Holding,2,10,A
67254,744787,CLE,SC-0950,Offensive Holding,2,10,A
67255,744799,PIT,AB-3500,Illegal Formation,3,5,A
67256,744805,MIN,NE-0225,Offensive Holding,2,10,A
67257,744813,MIN,BR-1000,Encroachment,4,5,A
67258,744815,MIN,XR-0100,Defensive Pass Interference,5,22,A
67259,744820,PIT,JJ-0725,Offensive Holding,2,10,A
67260,744822,PIT,BR-1100,Delay of Game,3,5,A
67261,744830,PIT,AV-0350,False Start,1,5,A
67262,744832,MIN,TW-1187,Defensive Pass Interference,5,49,A
67263,744878,PIT,,12 On-field,3,5,A
67264,744880,PIT,RN-1250,Defensive Offside,4,5,A
67265,744888,MIN,NE-0225,Illegal Formation,3,5,A
67266,744891,PIT,AB-3875,Defensive Pass Interference,5,17,A
67267,744905,MIN,TJ-1900,Defensive Offside,4,0,D
67268,744914,MIN,SD-0537,Offensive Pass Interference,2,10,A
67269,744919,MIN,NE-0225,Offensive Holding,2,10,A
67270,744927,MIN,TN-0400,Defensive Holding,5,5,A
67271,744930,PIT,JS-4750,False Start,1,5,A
67272,744933,PIT,KC-0212,False Start,1,5,A
67273,744934,MIN,AB-0650,Running Into the Kicker,6,0,D
67274,744935,MIN,JB-3200,False Start,1,0,A
67275,744937,PIT,AB-3875,Defensive Pass Interference,5,0,D
67276,744938,MIN,RR-0250,Offensive Holding,2,0,D
67277,744941,PIT,AC-1350,Offensive Holding,2,10,A
67278,744954,MIN,MR-0645,Offensive Holding,2,10,A
67279,744960,MIN,,Illegal Formation,3,5,A
67280,744985,NE,HL-0100,Face Mask,6,15,A
67281,745001,NO,RR-0122,Offensive Holding,2,10,A
67282,745003,NO,LW-0350,Offensive Holding,2,0,D
67283,745020,NE,TF-0750,Defensive Offside,4,5,A
67284,745039,NE,JJ-4565,Defensive Offside,4,5,A
67285,745040,NO,DB-3800,Delay of Game,3,5,A
67286,745059,NE,DA-1425,Offensive Holding,2,10,A
67287,745079,NO,MT-0350,12 On-field,3,5,A
67288,745082,NO,KV-0050,Defensive Holding,5,5,A
67289,745086,NE,DA-0850,12 On-field,3,5,A
67290,745105,NO,AP-0450,Illegal Use of Hands,2,10,A
67291,745114,NE,,Illegal Shift,3,6,A
67292,745115,NE,MC-0400,Offensive Holding,2,10,A
67293,745139,NE,BC-2325,False Start,1,5,A
67294,745141,NE,,Delay of Game,3,5,A
67295,745149,KC,KP-0650,Offensive Holding,2,10,A
67296,745166,PHI,JK-0500,Offensive Holding,2,10,A
67297,745167,KC,EM-2100,Defensive Holding,5,5,A
67298,745186,KC,PG-0050,Defensive Holding,5,5,A
67299,745190,PHI,KG-1200,Tripping,7,10,A
67300,745191,PHI,BG-1200,Defensive Offside,4,5,A
67301,745195,KC,BW-2750,False Start,1,5,A
67302,745196,PHI,RD-1550,Illegal Use of Hands,5,0,O
67303,745196,KC,BW-2750,Offensive Holding,2,0,O
67304,745205,PHI,,Illegal Formation,3,0,D
67305,745241,KC,PG-0050,Defensive Holding,5,0,D
67306,745248,KC,TK-0150,Taunting,6,15,A
67307,745258,PHI,IS-0125,False Start,1,5,A
67308,745310,JAC,JW-4925,Illegal Block Above the Waist,7,10,A
67309,745340,TEN,JC-4050,False Start,1,5,A
67310,745356,JAC,ML-1500,Illegal Use of Hands,2,10,A
67311,745363,TEN,LR-0600,Unnecessary Roughness,6,15,A
67312,745370,JAC,CI-0300,Face Mask,6,15,A
67313,745370,JAC,JP-0900,Offensive Holding,2,0,D
67314,745380,TEN,JC-4050,Offensive Holding,2,10,A
67315,745381,TEN,TL-0775,Illegal Use of Hands,2,10,A
67316,745383,JAC,DF-1481,Defensive Offside,4,5,A
67317,745395,TEN,JC-4050,Illegal Block Above the Waist,7,10,A
67318,745401,JAC,JO-0150,Offensive Holding,2,10,A
67319,745409,JAC,PP-0800,Offensive Holding,2,9,A
67320,745412,JAC,AH-3900,Offensive Pass Interference,2,10,A
67321,745418,JAC,JR-0150,Unnecessary Roughness,6,15,A
67322,745426,JAC,CR-1162,Illegal Use of Hands,2,10,A
67323,745429,TEN,DB-0975,Offensive Holding,2,10,A
67324,745434,JAC,DS-3125,Defensive Offside,4,5,A
67325,745438,TEN,BJ-1950,Offensive Holding,2,10,A
67326,745477,MIA,LT-0950,False Start,1,5,A
67327,745483,LAC,MI-0150,Defensive Offside,4,0,D
67328,745485,LAC,JB-4450,Unnecessary Roughness,6,15,A
67329,745494,LAC,TW-2875,False Start,1,5,A
67330,745496,LAC,PR-0300,Delay of Game,3,5,A
67331,745523,MIA,RJ-2000,Defensive Pass Interference,5,3,A
67332,745525,MIA,JP-2850,Defensive Offside,4,0,A
