pid,bc,dir,yds,succ,kne
743472,CC-0750,LE,0,0,0
743476,TM-3150,MD,6,1,0
743479,TM-3150,RT,3,1,0
743481,JW-3650,LT,6,1,0
743496,TM-3150,LE,2,0,0
743499,TM-3150,RT,3,1,0
743502,TM-3150,LT,0,0,0
743503,TM-3150,LG,1,0,0
743504,AR-1300,MD,6,1,0
743506,TM-3150,RG,-1,0,0
743508,AR-1300,NL,-1,0,1
743509,AR-1300,NL,-1,0,1
743510,AR-1300,NL,-1,0,1
743512,DP-2037,LE,6,1,0
743513,EE-0250,RG,3,1,0
743514,DP-2037,MD,1,1,0
743515,EE-0250,RT,3,0,0
743521,PP-0350,RG,3,0,0
743525,EE-0250,LT,6,1,0
743528,EE-0250,MD,3,0,0
743540,EE-0250,LT,6,1,0
743544,EE-0250,MD,9,1,0
743545,EE-0250,LG,5,1,0
743547,AM-2850,RT,-2,0,0
743549,EE-0250,RE,-7,0,0
743555,PP-0350,RE,3,0,0
743557,PP-0350,LT,3,0,0
743558,PP-0350,MD,3,0,0
743562,AM-2850,LT,4,0,0
743564,EE-0250,RG,5,1,0
743565,EE-0250,RT,3,1,0
743568,OD-0200,MD,12,1,0
743574,EE-0250,LE,10,1,0
743576,EE-0250,RE,9,1,0
743577,EE-0250,LT,6,1,0
743590,DP-2037,MD,17,1,0
743595,EM-0200,NL,-1,0,1
743600,SS-1250,LE,6,1,0
743602,PP-0350,LG,1,0,0
743607,PP-0350,LT,2,0,0
743609,PP-0350,MD,1,0,0
743614,EE-0250,MD,2,0,0
743617,EE-0250,MD,4,0,0
743622,OD-0200,LT,4,1,0
743627,OD-0200,RG,-2,0,0
743631,EE-0250,RT,4,1,0
743634,EE-0250,MD,3,1,0
743644,EE-0250,LT,4,1,0
743645,EE-0250,RE,8,1,0
743648,EE-0250,LT,1,0,0
743649,EE-0250,RT,6,1,0
743650,EE-0250,LE,8,1,0
743651,AM-2850,MD,3,1,0
743652,AM-2850,RT,-4,0,0
743653,EE-0250,MD,3,0,0
743654,EE-0250,RT,0,0,0
743669,AP-0700,RG,9,1,0
743670,AP-0700,RT,1,1,0
743673,AK-0050,MD,3,0,0
743675,MI-0100,LE,2,1,0
743678,JK-2200,MD,2,1,0
743679,AK-0050,MD,1,0,0
743681,MI-0100,RT,4,0,0
743686,DC-3550,MD,1,0,0
743689,DC-3550,RE,-1,0,0
743691,DC-3550,LT,-1,0,0
743695,JM-3450,MD,10,1,0
743696,DC-3550,LG,2,0,0
743701,AP-0700,RT,3,0,0
743702,AK-0050,MD,3,0,0
743705,DC-3550,LE,6,1,0
743706,DC-3550,MD,0,0,0
743713,MI-0100,RT,7,1,0
743717,MI-0100,LT,2,0,0
743720,TG-0900,RE,5,1,0
743721,MI-0100,RG,-1,0,0
743722,MI-0100,MD,3,0,0
743730,AK-0050,MD,2,0,0
743732,AP-0700,RE,1,0,0
743735,DC-3550,MD,5,1,0
743737,DC-3550,LG,10,1,0
743749,DC-3550,LE,7,1,0
743751,DC-3550,LE,0,0,0
743752,DC-3550,RE,10,1,0
743754,LM-1850,MD,3,0,0
743758,AP-0700,MD,2,0,0
743762,JM-3450,LG,-2,0,0
743765,SD-0537,LE,-6,0,0
743770,AK-0050,LG,3,0,0
743773,AP-0700,LG,2,0,0
743779,DC-3550,LG,1,0,0
743781,DC-3550,MD,3,0,0
743782,DC-3550,MD,5,1,0
743783,DC-3550,RE,32,1,0
743784,DC-3550,LT,4,1,0
743785,JM-3450,MD,-3,0,0
743795,AK-0050,RT,5,0,0
743798,AK-0050,MD,1,0,0
743802,DC-3550,LE,4,1,0
743804,DC-3550,MD,3,1,0
743806,DC-3550,MD,0,0,0
743807,LM-1850,LT,3,0,0
743821,DC-3550,RE,2,0,0
743822,DC-3550,RT,1,0,0
743823,DC-3550,RE,33,1,0
743824,SB-1100,NL,-1,0,1
743825,SB-1100,NL,-2,0,1
743827,CA-0750,RG,1,0,0
743830,CA-0750,MD,2,0,0
743835,MG-1150,LG,21,1,0
743836,MG-1150,LT,5,1,0
743841,CA-0750,LG,6,1,0
743843,CA-0750,MD,2,0,0
743844,CA-0750,MD,11,1,0
743848,CA-0750,LG,3,0,0
743850,CA-0750,RT,7,1,0
743851,CA-0750,MD,0,0,0
743855,MG-1150,LG,2,0,0
743856,MG-1150,MD,1,0,0
743858,MG-1150,LT,2,0,0
743861,MG-1150,RG,0,0,0
743862,MG-1150,LT,10,1,0
743863,MG-1150,MD,0,0,0
743867,CA-0750,MD,2,0,0
743871,BO-0150,MD,6,1,0
743872,BO-0150,LT,3,1,0
743874,BO-0150,MD,1,0,0
743875,BO-0150,MD,0,0,0
743878,JC-2300,RT,3,0,0
743881,CA-0750,LT,18,1,0
743882,TS-1450,MD,8,1,0
743883,JC-2300,MD,4,1,0
743885,CA-0750,MD,0,0,0
743886,TS-1450,RE,1,1,0
743889,MG-1150,RT,2,0,0
743893,MG-1150,MD,1,0,0
743894,MG-1150,MD,4,0,0
743897,CA-0750,MD,9,1,0
743898,CA-0750,LT,5,1,0
743899,TS-1450,RT,2,0,0
743901,JC-2300,MD,4,0,0
743903,MG-1150,MD,2,0,0
743904,MG-1150,RE,2,0,0
743906,CA-0750,RG,4,1,0
743909,TS-1450,RT,8,1,0
743911,TS-1450,RT,1,0,0
743920,JC-2300,RG,7,1,0
743921,JC-2300,LE,12,1,0
743926,JC-2300,RE,2,0,0
743928,JC-2300,MD,2,1,0
743929,JC-2300,RE,-2,0,0
743930,CA-0750,LG,1,0,0
743936,MG-1150,LT,-2,0,0
743939,MG-1150,MD,-2,0,0
743940,CA-0750,RG,0,0,0
743941,CA-0750,MD,0,0,0
743946,MG-1150,MD,4,0,0
743951,JC-2300,RE,4,1,0
743952,JC-2300,RE,4,0,0
743957,CA-0750,LG,3,1,0
743966,CA-0750,MD,3,1,0
743967,CA-0750,RT,4,1,0
743972,MG-1150,MD,0,0,0
743973,MG-1150,MD,2,1,0
743979,TS-1450,NL,-1,0,1
743981,LM-1150,RG,4,1,0
743985,JH-4025,RT,5,1,0
743991,LM-1150,LE,0,0,0
743993,LM-1150,RE,2,0,0
743997,JM-5275,LE,2,0,0
744001,DF-1362,LG,9,1,0
744002,DF-1362,MD,5,1,0
744007,JR-3280,LE,12,0,0
744008,DF-1362,LT,5,1,0
744009,DF-1362,RE,9,1,0
744011,DF-1362,LG,2,0,0
744012,DF-1362,LE,1,0,0
744018,GB-0350,LE,-5,0,0
744023,LM-1150,LG,1,0,0
744025,LM-1150,LE,0,0,0
744029,JM-5275,LG,3,0,0
744030,JM-5275,LE,3,0,0
744032,GB-0350,RT,3,0,0
744033,GB-0350,RT,5,1,0
744034,GB-0350,RG,1,0,0
744036,LM-1150,RT,6,1,0
744037,LM-1150,RT,3,1,0
744038,LM-1150,LT,0,0,0
744040,JM-5275,RG,7,1,0
744044,DW-1725,MD,4,1,0
744045,DF-1362,RG,1,0,0
744047,DF-1362,RG,5,1,0
744052,DW-1725,MD,49,1,0
744063,AD-0100,MD,3,0,0
744064,JH-4025,RT,6,1,0
744065,AD-0100,LG,2,1,0
744067,JH-4025,LE,-1,0,0
744070,GB-0350,RG,6,1,0
744075,JH-4025,MD,0,0,0
744076,JH-4025,RG,3,1,0
744077,JH-4025,LG,4,1,0
744082,LM-1150,LG,8,1,0
744083,LM-1150,LT,2,1,0
744084,DW-1725,LE,2,0,0
744087,LM-1150,MD,0,0,0
744091,JM-5275,LG,6,1,0
744094,AE-1037,LE,2,0,0
744099,DF-1362,MD,2,1,0
744100,DF-1362,LT,-2,0,0
744102,JM-5275,LE,7,1,0
744103,JM-5275,RT,4,1,0
744104,JM-5275,MD,-1,0,0
744108,DW-1725,LE,1,0,0
744110,DF-1362,LG,-1,0,0
744113,JM-5275,LE,5,0,0
744120,LM-1150,LT,3,1,0
744123,LM-1150,LT,2,0,0
744124,LM-1150,LT,19,1,0
744126,DF-1362,LT,4,1,0
744129,LM-1150,LG,2,0,0
744130,DW-1725,MD,11,0,0
744140,LM-1150,MD,6,1,0
744141,LM-1150,LT,5,1,0
744142,LM-1150,MD,-2,0,0
744146,KW-1250,RT,2,0,0
744150,JB-5725,RE,6,1,0
744153,FG-0200,LE,-2,0,0
744156,FG-0200,RT,8,1,0
744157,FG-0200,MD,1,0,0
744158,RT-1950,MD,5,1,0
744159,FG-0200,MD,2,0,0
744164,FG-0200,MD,5,1,0
744167,KW-1250,RT,4,1,0
744168,KW-1250,MD,1,0,0
744172,FG-0200,MD,5,1,0
744173,MM-0050,LE,-2,0,0
744175,MM-0050,LT,1,0,0
744176,MM-0050,RG,-4,0,0
744181,KW-1250,MD,5,1,0
744183,KW-1250,RG,-2,0,0
744187,RT-1950,MD,1,0,0
744193,CJ-1700,MD,3,0,0
744196,CJ-1700,RT,8,1,0
744197,CJ-1700,RE,11,1,0
744200,KW-1250,LG,3,0,0
744203,KW-1250,RE,2,0,0
744211,FG-0200,MD,2,0,0
744215,KW-1250,RT,4,1,0
744222,JB-5725,MD,2,0,0
744225,JB-5725,MD,11,1,0
744231,FG-0200,RE,3,0,0
744235,CJ-1700,RE,3,0,0
744239,FG-0200,LT,13,1,0
744240,JB-5725,MD,0,0,0
744242,JB-5725,MD,1,1,0
744243,FG-0200,MD,6,1,0
744244,JB-5725,LE,2,0,0
744247,CJ-1700,MD,2,0,0
744248,CJ-1700,MD,4,0,0
744256,RT-1950,MD,5,1,0
744257,MM-0050,LE,2,0,0
744259,MM-0050,LE,3,0,0
744263,MM-0050,LT,-3,0,0
744265,FG-0200,MD,2,0,0
744268,FG-0200,MD,1,0,0
744273,AE-0750,MD,6,1,0
744274,CJ-1700,MD,3,1,0
744275,CP-0500,MD,4,1,0
744283,FG-0200,MD,-2,0,0
744287,CJ-1700,LE,3,0,0
744289,CJ-1700,MD,5,1,0
744290,CJ-1700,MD,1,0,0
744295,FG-0200,LE,2,0,0
744309,CP-0500,LG,3,0,0
744311,CP-0500,NL,-1,0,1
744315,CJ-1700,LT,1,0,0
744316,KW-1250,MD,3,0,0
744317,AE-0750,MD,5,0,0
744320,JS-6700,RG,-1,0,0
744325,JS-6700,MD,3,0,0
744326,CN-0500,RE,15,1,0
744327,CM-1225,MD,6,1,0
744328,JS-6700,LT,5,1,0
744329,CM-1225,LT,4,1,0
744334,LM-1000,LT,0,0,0
744338,JS-6700,LE,-1,0,0
744342,CN-0500,LE,10,1,0
744343,JS-6700,RG,9,1,0
744344,JS-6700,RE,-2,0,0
744345,CM-1225,LT,2,0,0
744347,LM-1000,RT,2,0,0
744349,TT-0500,MD,4,0,0
744354,JS-6700,LG,1,0,0
744360,TT-0500,RE,12,1,0
744361,MT-1300,MD,3,0,0
744362,MT-1300,LG,1,0,0
744365,JS-6700,LE,10,1,0
744367,CM-1225,RG,-2,0,0
744373,CM-1225,LE,-2,0,0
744374,CN-0500,MD,1,0,0
744380,TT-0500,RE,13,0,0
744387,JS-6700,RT,6,0,0
744389,LM-1000,MD,-2,0,0
744391,TT-0500,RE,11,1,0
744395,TT-0500,RE,4,1,0
744397,LM-1000,LE,-1,0,0
744398,CM-1225,LG,0,0,0
744399,JS-6700,RT,-2,0,0
744403,LM-1000,RG,6,1,0
744404,LM-1000,LT,-2,0,0
744407,JS-6700,RG,5,1,0
744413,LM-1000,LG,2,0,0
744415,LM-1000,RT,6,1,0
744416,LM-1000,MD,0,0,0
744420,CM-1225,LT,3,0,0
744426,LM-1000,LT,-7,0,0
744427,LM-1000,MD,4,0,0
744429,MT-1300,RT,1,0,0
744431,LM-1000,RG,1,0,0
744440,JS-6700,RT,4,1,0
744441,CM-1225,MD,-1,0,0
744444,CN-0500,RE,2,1,0
744445,JS-6700,MD,4,1,0
744448,JS-6700,MD,-2,0,0
744449,JS-6700,RT,1,0,0
744457,TT-0500,LE,2,0,0
744461,TT-0500,RE,4,0,0
744463,TT-0500,RG,5,0,0
744465,CN-0500,NL,-1,0,1
744468,JR-2800,RT,6,1,0
744470,JR-2800,MD,-1,0,0
744472,JR-2800,LT,2,0,0
744477,CS-1950,LT,2,0,0
744482,JH-5575,MD,-3,0,0
744485,TC-1975,MD,2,0,0
744487,JH-5575,MD,3,0,0
744489,JH-5575,MD,-3,0,0
744493,JR-2800,LT,1,0,0
744495,CS-1950,MD,0,0,0
744500,TC-1975,RT,9,1,0
744501,JH-5575,LT,2,1,0
744502,JH-5575,RE,4,1,0
744507,TC-1975,LE,2,0,0
744510,JR-2800,LT,4,0,0
744512,JR-2800,RE,9,1,0
744513,JR-2800,RT,0,0,0
744514,JR-2800,LG,8,1,0
744515,JR-2800,MD,3,0,0
744517,JW-5650,MD,3,0,0
744518,JR-2800,MD,1,1,0
744521,JH-5575,LT,2,0,0
744522,TC-1975,RE,-3,0,0
744524,JH-5575,LT,2,0,0
744525,TC-1975,RE,-1,0,0
744532,JH-5575,MD,2,0,0
744534,JH-5575,MD,-2,0,0
744546,TC-1975,LE,7,1,0
744550,JR-2800,LG,1,0,0
744552,JR-2800,RE,8,1,0
744553,JR-2800,MD,-1,0,0
744556,JR-2800,RT,5,0,0
744558,JR-2800,RE,10,1,0
744559,JR-2800,MD,2,0,0
744563,TC-1975,LE,-3,0,0
744567,PB-0125,MD,2,1,0
744568,PB-0125,MD,5,1,0
744569,PB-0125,LE,1,0,0
744572,PB-0125,RT,3,0,0
744575,PB-0125,MD,14,1,0
744576,PB-0125,RT,8,1,0
744577,PB-0125,MD,1,0,0
744578,JR-2800,RT,2,1,0
744579,JR-2800,RT,6,1,0
744596,JR-2800,MD,1,0,0
744607,PB-0125,MD,3,1,0
744608,PB-0125,MD,2,0,0
744621,PB-0125,LT,8,1,0
744622,RF-0500,NL,-1,0,1
744623,RF-0500,NL,-1,0,1
744625,IC-0300,LE,3,0,0
744626,IC-0300,RG,0,0,0
744630,TW-1350,LT,-1,0,0
744633,TW-1350,LE,2,0,0
744637,IC-0300,RG,9,1,0
744638,IC-0300,RG,2,1,0
744646,JA-1025,LG,3,0,0
744649,TW-1350,LG,2,0,0
744650,TW-1350,LT,4,1,0
744654,IC-0300,LG,2,0,0
744658,DJ-1850,RG,3,0,0
744661,JA-1025,RG,2,0,0
744662,MC-0150,RE,5,1,0
744665,IC-0300,RT,-1,0,0
744666,DK-0875,LT,13,1,0
744668,DJ-1850,LE,0,0,0
744672,TW-1350,LE,12,1,0
744673,JA-1025,RG,-4,0,0
744676,JA-1025,RG,4,1,0
744683,KH-2050,RE,5,1,0
744684,IC-0300,LG,1,0,0
744689,TW-1350,LG,1,0,0
744694,DJ-1850,MD,2,0,0
744709,JA-1025,LG,37,1,0
744714,TW-1350,LG,2,0,0
744716,TW-1350,RG,0,0,0
744717,JA-1025,RG,4,0,0
744721,RH-1950,RE,4,1,0
744725,IC-0300,RG,17,1,0
744726,IC-0300,LG,2,0,0
744735,IC-0300,RG,2,0,0
744740,JA-1025,RT,-2,0,0
744743,AC-2150,LT,16,1,0
744744,AC-2150,LE,4,1,0
744745,AC-2150,RG,1,0,0
744746,JA-1025,RT,14,1,0
744747,JA-1025,LT,1,0,0
744752,DK-0875,RT,3,0,0
744759,DJ-1850,MD,16,1,0
744760,DK-0875,RE,-4,0,0
744762,AC-2150,RG,7,1,0
744763,AC-2150,RG,4,1,0
744765,MW-2450,RG,2,1,0
744766,JA-1025,RG,-2,0,0
744769,AC-2150,RG,13,0,0
744775,AC-2150,RG,1,0,0
744777,JA-1025,RG,-1,0,0
744778,JA-1025,RG,-2,0,0
744779,JA-1025,LG,6,0,0
744780,JA-1025,RG,6,0,0
744783,DK-0875,RG,9,1,0
744789,DK-0875,RE,5,0,0
744795,JF-1900,NL,-1,0,1
744797,LB-0250,MD,3,0,0
744798,LB-0250,RT,4,0,0
744803,DC-3550,MD,7,1,0
744807,JM-3450,LG,0,0,0
744808,JM-3450,LG,9,0,0
744810,LB-0250,RT,0,0,0
744811,LB-0250,LT,1,0,0
744814,LB-0250,RG,4,1,0
744816,MB-4550,LE,7,1,0
744817,LB-0250,MD,3,1,0
744818,JC-4075,RT,9,1,0
744819,LB-0250,RG,2,1,0
744825,DC-3550,LG,-4,0,0
744826,DC-3550,RG,1,0,0
744829,LB-0250,MD,11,1,0
744833,LB-0250,RG,6,1,0
744834,LB-0250,RG,2,0,0
744839,LM-1850,LT,0,0,0
744840,LM-1850,MD,2,1,0
744841,DC-3550,MD,1,0,0
744842,SD-0537,RE,4,0,0
744850,LB-0250,RT,2,0,0
744854,DC-3550,MD,1,0,0
744858,LB-0250,RG,2,0,0
744859,LB-0250,RG,9,1,0
744865,DC-3550,MD,-3,0,0
744879,JM-3450,LG,7,1,0
744881,DC-3550,MD,6,1,0
744885,LB-0250,RT,-2,0,0
744893,DC-3550,MD,10,1,0
744894,LM-1850,MD,4,1,0
744896,DC-3550,RT,25,1,0
744897,CH-0525,MD,1,1,0
744900,LB-0250,LG,4,1,0
744902,LB-0250,LE,1,0,0
744906,LB-0250,RT,3,0,0
744912,DC-3550,MD,8,1,0
744923,LB-0250,MD,7,1,0
744926,LB-0250,MD,0,0,0
744929,LB-0250,LG,0,0,0
744936,DC-3550,LG,6,1,0
744939,DC-3550,MD,6,0,0
744943,LB-0250,MD,4,1,0
744945,LB-0250,LG,9,1,0
744946,LB-0250,LG,3,1,0
744947,LB-0250,MD,5,1,0
744949,LB-0250,MD,0,0,0
744962,LB-0250,MD,2,0,0
744963,TW-1125,MD,1,0,0
744964,LB-0250,MD,2,0,0
744971,BR-1100,NL,-1,0,1
744972,BR-1100,NL,-1,0,1
744975,RB-4670,LE,1,0,0
744980,RB-4670,LE,2,0,0
744981,BC-2325,LE,13,1,0
744986,MI-0100,LE,6,1,0
744989,MI-0100,RE,1,0,0
744990,AP-0700,RT,2,0,0
744996,MG-0650,LG,5,1,0
744997,MG-0650,LG,-1,0,0
745006,PD-0800,LE,7,1,0
745007,MG-0650,RE,7,1,0
745008,MG-0650,LE,3,0,0
745012,MG-0650,LG,3,0,0
745017,AK-0050,RG,3,0,0
745022,AP-0700,RG,5,1,0
745023,AP-0700,RG,6,1,0
745033,MI-0100,LE,1,0,0
745036,MI-0100,RT,2,0,0
745044,JW-2550,RG,7,1,0
745046,DL-1700,RE,0,0,0
745048,MG-0650,LG,2,1,0
745054,AP-0700,LT,-1,0,0
745057,MG-0650,RT,9,1,0
745058,TB-2300,MD,2,1,0
745064,TB-2300,MD,7,0,0
745068,AP-0700,LE,6,1,0
745069,AP-0700,LE,3,0,0
745073,AP-0700,RG,3,0,0
745078,DL-1700,LT,0,0,0
745080,MG-0650,RE,1,0,0
745083,MG-0650,RE,5,1,0
745084,MG-0650,LE,1,0,0
745087,MI-0100,RG,9,1,0
745088,MI-0100,LG,4,1,0
745090,MI-0100,RE,1,0,0
745095,JW-2550,LG,4,1,0
745096,MG-0650,RE,3,0,0
745098,DL-1700,LG,13,1,0
745099,DL-1700,LG,1,0,0
745111,MG-0650,RG,4,1,0
745116,MG-0650,LG,7,1,0
745126,AP-0700,LE,2,1,0
745133,MG-0650,RE,13,1,0
745134,MG-0650,RT,3,1,0
745136,MG-0650,LT,2,1,0
745137,MG-0650,LT,1,0,0
745138,MG-0650,RG,1,0,0
745140,BC-2325,LE,-7,0,0
745148,MI-0100,MD,28,1,0
745150,KH-2850,MD,4,1,0
745155,TH-1750,LG,6,1,0
745160,DS-3300,LT,12,1,0
745163,DS-3300,LE,6,0,0
745169,DS-3300,MD,3,0,0
745173,KH-2850,LT,1,0,0
745178,KH-2850,RT,2,0,0
745181,CW-1425,MD,5,1,0
745183,WS-0650,MD,-2,0,0
745185,DS-3300,MD,2,0,0
745188,DS-3300,LT,-3,0,0
745192,KH-2850,RE,-1,0,0
745194,AW-1650,MD,4,1,0
745197,AS-1600,MD,4,0,0
745201,DS-3300,RE,6,1,0
745208,KH-2850,MD,2,0,0
745217,DS-3300,LE,11,1,0
745225,DS-3300,RE,3,0,0
745231,KH-2850,MD,1,0,0
745239,WS-0650,MD,8,1,0
745240,DS-3300,RE,3,1,0
745244,AS-1600,RE,12,1,0
745246,KH-2850,LE,-1,0,0
745248,KH-2850,MD,53,1,0
745254,CW-1425,LE,13,1,0
745255,DS-3300,MD,5,1,0
745267,CW-1425,RE,13,1,0
745268,WS-0650,MD,-2,0,0
745271,KH-2850,MD,-1,0,0
745273,AS-1600,LE,5,1,0
745282,AS-1600,LE,0,0,0
745284,KH-2850,RE,4,1,0
745285,KH-2850,MD,3,1,0
745286,KH-2850,LE,12,1,0
745287,KH-2850,MD,2,1,0
745295,CW-1425,RE,24,1,0
745307,DM-4300,LE,0,0,0
745308,DM-4300,MD,3,0,0
745311,LF-0650,MD,5,1,0
745312,BB-2425,MD,6,1,0
745313,CI-0300,MD,6,1,0
745316,LF-0650,MD,7,1,0
745317,LF-0650,MD,2,1,0
745318,CI-0300,MD,2,1,0
745320,LF-0650,RE,-1,0,0
745324,DM-4300,LG,4,1,0
745325,DM-4300,MD,4,1,0
745328,DM-4300,RE,4,1,0
745331,DM-4300,MD,7,1,0
745336,LF-0650,RE,4,1,0
745337,CI-0300,LE,0,0,0
745341,DH-2450,MD,3,0,0
745342,MM-0912,RG,7,0,0
745346,LF-0650,MD,4,0,0
745350,DM-4300,LE,0,0,0
745353,LF-0650,MD,7,1,0
745354,LF-0650,LE,2,1,0
745355,CI-0300,MD,2,1,0
745360,TT-0150,LE,17,1,0
745362,CG-1950,LE,13,1,0
745363,LF-0650,MD,3,0,0
745364,CI-0300,MD,3,0,0
745365,CI-0300,MD,4,0,0
745367,BB-2425,LE,6,1,0
745371,LF-0650,LE,0,0,0
745375,DH-2450,MD,2,1,0
745377,MM-0912,RE,7,1,0
745387,LF-0650,MD,4,1,0
745390,DM-4300,MD,0,0,0
745391,TT-0150,LE,-1,0,0
745393,MM-0912,RE,4,1,0
745394,MM-0912,RE,8,1,0
745395,DM-4300,RE,3,0,0
745402,LF-0650,MD,1,0,0
745407,DH-2450,MD,17,1,0
745411,LF-0650,LE,1,0,0
745417,DH-2450,MD,6,1,0
