uid,pid,qb,sk,value,ydsl
22443,741615,AS-1600,TF-0750,1,-3
22444,741635,AS-1600,DW-4150,1,-12
22445,741694,AS-1600,TF-0750,1,-1
22446,741737,TB-2300,JH-5500,1,-7
22447,741745,TB-2300,AB-0100,1,-8
22448,741746,TB-2300,JH-5500,1,-5
22449,741775,MS-4100,CJ-2050,1,-7
22450,741887,CP-0500,AZ-0200,1,-5
22451,741964,MG-0850,VB-0075,1,-4
22452,741971,MG-0850,BR-0200,1,-12
22453,741981,MR-2500,AH-3050,1,-6
22454,742006,MG-0850,BP-1050,1,-12
22455,742010,MR-2500,AH-3050,1,-7
22456,742084,MG-0850,BR-0200,1,-9
22457,742092,AD-0100,ZS-0075,1,-9
22458,742136,JF-1900,GA-0400,1,-10
22459,742159,AD-0100,MP-1225,1,-5
22460,742174,AD-0100,TS-3500,1,-6
22461,742207,AD-0100,TS-3500,1,-5
22462,742223,AD-0100,TJ-0950,1,-1
22463,742252,TS-0550,AJ-1150,0.5,-7
22464,742252,TS-0550,CC-0200,0.5,-7
22465,742285,TS-0550,CC-0200,1,0
22466,742294,TS-0550,CC-0200,1,-7
22467,742302,TS-0550,YN-0100,1,-3
22468,742319,TS-0550,CC-0200,1,-6
22469,742320,TS-0550,YN-0100,1,-10
22470,742369,DW-1725,DF-1481,1,-6
22471,742392,DW-1725,MJ-0030,1,-7
22472,742406,DW-1725,LM-1020,1,-6
22473,742408,DW-1725,CC-0200,0.5,-2
22474,742408,DW-1725,LM-1020,0.5,-2
22475,742434,TT-0500,DL-0550,1,0
22476,742459,JM-2900,JP-4150,1,-11
22477,742486,TT-0500,JM-1140,0.5,-6
22478,742486,TT-0500,DD-0250,0.5,-6
22479,742623,DC-0725,WW-0900,1,-5
22480,742624,DC-0725,DM-3600,1,-7
22481,742660,MM-0912,ME-0425,0.5,-1
22482,742660,MM-0912,JE-0450,0.5,-1
22483,742743,CW-1425,PS-0550,1,-2
22484,742751,KC-2350,FC-0400,1,-15
22485,742795,CW-1425,MI-0175,0.5,-7
22486,742795,CW-1425,RK-0500,0.5,-7
22487,742830,KC-2350,TJ-1025,1,-6
22488,742884,KC-2350,BG-1200,1,-12
22489,742889,KC-2350,BG-1200,1,-7
22490,742906,DK-0875,AC-1350,1,-7
22491,742908,DK-0875,CH-3100,1,-4
22492,742976,DK-0875,JH-0100,1,-3
22493,742979,BR-1100,CN-0250,1,-8
22494,742986,DK-0875,TW-1137,1,-8
22495,743000,DK-0875,TW-1137,1,-3
22496,743008,DK-0875,AC-1350,1,-8
22497,743018,DK-0875,JH-1375,1,-9
22498,743103,ST-0700,RQ-0200,1,0
22499,743116,ST-0700,TW-0160,1,-7
22500,743150,ST-0700,EW-0550,1,-6
22501,743151,ST-0700,ML-2325,1,-9
22502,743166,JG-1850,MH-3750,1,-8
22503,743226,BH-1900,WH-0850,1,-8
22504,743234,BH-1900,ST-0550,1,-7
22505,743244,BH-1900,JP-2000,0.5,-4
22506,743244,BH-1900,SL-0950,0.5,-4
22507,743259,BH-1900,TD-0700,1,-8
22508,743354,RW-3850,NP-0130,1,-6
22509,743379,AR-1300,CA-1300,1,-6
22510,743391,AR-1300,MB-1900,1,-6
22511,743409,AR-1300,TG-0350,1,-6
22512,743413,AR-1300,MB-1900,0.5,-7
22513,743413,AR-1300,FC-0150,0.5,-7
22514,743437,RW-3850,MD-0060,0.5,-10
22515,743437,RW-3850,NP-0130,0.5,-10
22516,743439,RW-3850,MD-0060,1,-7
22517,743523,EM-0200,DL-0450,1,-7
22518,743552,DP-2037,OV-0200,1,-5
22519,743597,EM-0200,DL-0450,1,-6
22520,743610,EM-0200,CT-0025,1,-9
22521,743759,DB-3800,EG-0900,1,-7
22522,743766,SB-1100,CJ-2400,1,-5
22523,743900,TS-1450,CM-1250,1,-10
22524,743915,PR-0300,SB-0225,1,-7
22525,743923,TS-1450,JB-4450,1,-9
22526,743958,TS-1450,JB-4450,0.5,-6
22527,743958,TS-1450,MI-0150,0.5,-6
22528,743959,TS-1450,MI-0150,1,-13
22529,743988,AD-0100,KJ-0100,1,-4
22530,744004,DW-1725,CS-2350,1,-14
22531,744019,AD-0100,BM-1450,1,-4
22532,744027,DW-1725,GA-0400,1,-2
22533,744050,DW-1725,GA-0400,1,-11
22534,744114,AD-0100,BM-1450,1,-3
22535,744147,CP-0500,JS-3250,1,-7
22536,744160,JB-5725,JB-8700,1,-2
22537,744209,JB-5725,JM-1650,1,-8
22538,744218,CP-0500,AW-1900,1,-7
22539,744228,JB-5725,CJ-2050,1,-8
22540,744250,CP-0500,NH-0075,1,-6
22541,744276,CP-0500,HR-0100,1,-6
22542,744305,JB-5725,CJ-2050,1,-8
22543,744355,CN-0500,JH-5900,1,-10
22544,744356,CN-0500,EY-0100,1,-7
22545,744378,TT-0500,MA-0300,1,-9
22546,744385,CN-0500,LA-0200,1,-5
22547,744394,TT-0500,JP-2000,1,0
22548,744405,TT-0500,JP-2000,1,-9
22549,744408,CN-0500,SL-0350,1,-7
22550,744423,CN-0500,JP-4150,1,-7
22551,744424,CN-0500,JH-5900,1,-14
22552,744478,JW-5650,WY-0300,1,-5
22553,744508,MG-0850,NS-0712,1,-11
22554,744598,JW-5650,EG-0350,1,-5
22555,744635,JF-1900,CK-0850,1,-7
22556,744643,DK-0875,TS-3500,1,-4
22557,744691,JF-1900,JB-7650,1,-9
22558,744693,KH-2050,TB-2025,1,-2
22559,744736,DK-0875,PO-0175,1,-1
22560,744831,BR-1100,EG-0900,1,-7
22561,744866,CK-0250,BD-1200,1,-11
22562,744908,BR-1100,EG-0900,1,-3
22563,744938,CK-0250,VW-0250,1,-10
22564,745031,TB-2300,HK-0100,1,-7
22565,745074,DB-3800,DW-4150,1,-8
22566,745118,TB-2300,AA-0552,1,-4
22567,745187,CW-1425,CJ-2168,1,-5
22568,745198,AS-1600,MK-0730,1,-5
22569,745206,CW-1425,DF-1350,1,-9
22570,745210,AS-1600,FC-0400,1,-3
22571,745212,AS-1600,TJ-1025,0.5,-6
22572,745212,AS-1600,BG-1200,0.5,-6
22573,745233,AS-1600,CL-1400,1,-5
22574,745252,CW-1425,CJ-2168,1,-3
22575,745278,CW-1425,JH-5500,1,-3
22576,745290,CW-1425,CJ-2168,1,-5
22577,745296,CW-1425,BL-1350,1,-9
22578,745343,MM-0912,MJ-0015,1,-4
22579,745358,BB-2425,BO-0400,1,-7
22580,745414,BB-2425,DM-3600,1,-5
22581,745541,PR-0300,WH-0300,1,-8
22582,745579,JC-6200,MI-0150,1,-5
22583,745603,JC-6200,CM-1250,1,0
22584,745653,JM-2900,ME-0425,1,-1
22585,745727,JM-2900,KM-0050,1,-9
22586,745733,JM-2900,ME-0425,0.5,-4
22587,745733,JM-2900,DA-2050,0.5,-4
22588,745741,JM-2900,KJ-1150,1,-7
22589,745813,TS-1450,DL-0450,1,-16
22590,745828,TS-1450,DL-0450,1,-13
22591,745934,DP-2037,VM-0300,1,-4
22592,745944,DP-2037,VM-0300,1,-6
22593,745981,RW-3850,AL-1200,1,-1
22594,745985,RW-3850,TC-0370,1,-8
22595,746026,BH-1900,MB-1900,1,-4
22596,746056,RW-3850,AA-0562,1,-8
22597,746065,BH-1900,FC-0150,1,-6
22598,746135,KC-2350,MF-1525,0.5,-11
22599,746135,KC-2350,RQ-0200,0.5,-11
22600,746174,KC-2350,AO-0250,1,-12
22601,746194,JG-1850,PS-0550,1,-7
22602,746196,JG-1850,RK-0500,1,-5
22603,746302,MR-2500,CM-0900,0.5,-11
22604,746302,MR-2500,JT-1650,0.5,-11
22605,746324,AR-1300,DC-0325,1,-8
22606,746334,MR-2500,CM-0900,1,-10
22607,746362,AR-1300,VB-0075,1,-15
22608,746373,AR-1300,AC-1500,1,-12
22609,746386,MR-2500,BM-0345,1,-8
22610,746449,EM-0200,HN-0300,1,-3
22611,746460,MS-4100,KW-2800,1,0
22612,746479,MS-4100,JP-2900,1,-3
22613,746489,EM-0200,JD-0650,1,-10
22614,746490,EM-0200,EA-0550,1,-8
22615,746501,EM-0200,EA-0550,1,-7
22616,746514,EM-0200,EA-0550,1,-3
22617,746563,MS-4100,CM-3450,1,0
22618,746655,BH-1900,MF-1525,1,-5
22619,746660,BH-1900,ML-2325,1,-4
22620,746677,BH-1900,CB-0800,1,-7
22621,746765,BH-1900,AD-1475,1,-8
22622,746773,JF-1900,DF-1481,1,-5
22623,746801,JF-1900,MJ-0030,0.5,-7
22624,746801,JF-1900,CC-0200,0.5,-7
22625,746946,MR-2500,JV-0025,1,-6
22626,746973,MR-2500,AZ-0200,1,-11
22627,747025,MS-4100,AC-1500,1,-8
22628,747052,MS-4100,TM-2250,1,-3
22629,747131,DK-0875,JS-3250,1,-7
22630,747133,JB-5725,JS-1025,0.5,-9
22631,747133,JB-5725,CK-0850,0.5,-9
22632,747148,JB-5725,EO-0075,1,0
22633,747261,JB-5725,NO-0300,1,-7
22634,747304,TT-0500,VM-0300,1,-7
22635,747318,TT-0500,BM-0330,1,-2
22636,747378,TS-1450,SL-0350,1,-1
22637,747379,TS-1450,LA-0200,1,0
22638,747390,TT-0500,TD-0725,1,-2
22639,747420,TT-0500,SH-0150,1,-5
22640,747462,TS-1450,KW-1600,1,-3
22641,747471,DW-1725,TF-0750,1,-2
22642,747501,TB-2300,JC-3350,1,-9
22643,747512,TB-2300,JC-3350,1,-6
22644,747536,TB-2300,WM-0550,1,-6
22645,747570,DW-1725,CM-0250,1,-7
22646,747589,TB-2300,CC-4550,1,-12
22647,747635,TB-2300,MG-0600,1,-8
22648,747645,JM-2900,CW-0100,1,-11
22649,747675,JM-2900,AB-2730,1,-5
22650,747708,JC-6200,JA-0150,1,-10
22651,747775,JC-6200,DB-0950,1,-3
22652,747782,JC-6200,BS-2300,1,-12
22653,747815,CN-0500,CJ-2400,1,-6
22654,747869,DB-3800,MA-0300,1,-7
22655,747888,CN-0500,HK-0100,1,-2
22656,747896,CN-0500,TH-1350,1,-10
22657,747923,CN-0500,AO-0370,1,-10
22658,747946,CW-1425,OV-0200,1,-1
22659,747960,CW-1425,JB-5775,1,-8
22660,748006,CW-1425,DK-0465,1,-6
22661,748147,BR-1100,BC-0150,1,-12
22662,748163,MG-0850,AC-1350,1,-10
22663,748236,MG-0850,JH-1375,1,-7
22664,748247,BR-1100,PM-0500,1,-3
22665,748279,BR-1100,WY-0300,1,-8
22666,748337,JW-5650,EG-0900,1,-3
22667,748376,JW-5650,SS-2750,1,-9
22668,748515,RW-3850,EW-0100,1,0
22669,748641,AR-1300,CD-2200,1,0
22670,748655,AD-0100,JJ-4582,1,-6
22671,748682,AR-1300,DD-0950,1,0
22672,748684,AR-1300,CL-0375,1,-8
22673,748693,AR-1300,CL-0375,1,-5
22674,748703,AR-1300,MJ-1800,1,-7
22675,748720,AD-0100,AB-3100,1,-7
22676,748724,AR-1300,CS-2350,0.5,-13
22677,748724,AR-1300,CL-0375,0.5,-13
22678,748730,AD-0100,JJ-4582,1,-8
22679,748831,AS-1600,CM-1250,1,-9
22680,748840,AS-1600,MI-0150,1,-2
22681,748841,AS-1600,JB-4450,0.5,-6
22682,748841,AS-1600,CL-1000,0.5,-6
22683,748898,AS-1600,MI-0150,1,-11
22684,748924,AS-1600,MI-0150,1,-5
22685,748933,PR-0300,AB-0100,1,0
22686,748934,PR-0300,JH-5500,1,-11
22687,748965,DC-0725,JA-1062,0.5,-6
22688,748965,DC-0725,JG-0400,0.5,-6
22689,748966,DC-0725,PS-0550,1,-3
22690,748992,KC-2350,KM-0050,1,-9
22691,749036,DC-0725,RK-0500,1,-5
22692,749038,DC-0725,JA-1062,0.5,-8
22693,749038,DC-0725,MI-0175,0.5,-8
22694,749157,DP-2037,CJ-2050,1,-9
22695,749161,CP-0500,MC-2150,1,-7
22696,749171,CP-0500,TC-2950,1,-6
22697,749181,CP-0500,DL-0450,1,-6
22698,749248,CP-0500,MC-2150,1,-5
22699,749257,CP-0500,DL-0450,1,-11
22700,749260,CP-0500,DL-0450,1,-7
