pid,qtr,min,sec,dwn,yds,pts,player,type
741577,1,12,12,2,2,7,MG-0650,RUSH
741600,1,3,10,3,7,7,DH-1450,REC
741628,2,7,31,1,2,7,MG-0650,RUSH
741654,2,0,17,2,3,7,KH-2850,REC
741671,3,9,28,1,75,7,TH-1750,REC
741689,3,5,3,2,1,7,MG-0650,RUSH
741709,4,14,19,1,78,7,KH-2850,REC
741734,4,5,19,1,4,7,KH-2850,RUSH
741742,4,4,5,1,21,7,CW-1450,RUSH
741764,1,11,29,2,82,7,JB-3350,INT
741816,2,4,30,2,6,6,MJ-2250,REC
741868,3,5,42,1,3,7,KW-1250,RUSH
741878,3,3,15,2,7,6,TR-0370,REC
741898,4,9,33,2,10,6,KG-0650,REC
741911,4,4,22,2,45,7,KG-0650,REC
741914,4,4,13,1,35,7,MK-0752,INT
741928,4,1,38,1,1,6,JN-0625,REC
741986,2,4,34,1,5,7,DF-1875,RUSH
741996,2,0,20,1,4,7,JH-5575,RUSH
742043,4,12,10,3,88,7,AH-3650,REC
742055,4,7,33,1,19,7,TC-1975,REC
742149,2,2,0,3,48,7,JM-0200,REC
742154,2,1,31,1,2,7,TW-1350,RUSH
742311,2,2,14,4,1,6,LF-0650,RUSH
742320,2,1,0,2,53,7,DF-1481,FUM
742342,3,9,12,1,4,7,DH-3950,REC
742355,3,4,18,1,1,7,TB-1720,REC
742453,2,11,30,3,1,7,CC-2100,REC
742511,3,6,55,1,1,7,AH-3600,REC
742524,3,2,6,4,1,6,JM-2900,RUSH
742535,4,12,51,2,1,7,MT-1300,RUSH
742577,1,13,2,1,8,7,AC-2350,REC
742591,1,7,4,1,10,7,MM-0912,RUSH
742690,4,12,4,1,19,7,SR-0750,REC
742744,1,11,43,3,58,7,NA-0050,REC
742774,2,13,28,3,1,6,LB-0500,REC
742786,2,8,39,2,24,7,RK-0500,INT
742804,2,1,26,2,29,7,CT-1220,REC
742884,4,1,38,2,20,8,FC-0400,FUM
742899,1,12,44,4,0,7,AC-1350,BLPU
742928,1,0,24,2,1,7,DK-0875,RUSH
742971,2,0,49,3,4,7,JJ-0725,REC
742996,3,5,43,3,2,7,JJ-0725,REC
743037,4,3,40,4,3,8,CC-3650,REC
743058,1,11,21,3,39,7,TJ-2250,INT
743100,2,9,44,2,5,7,TG-1950,RUSH
743112,2,5,27,3,18,7,CK-1300,REC
743146,3,7,23,1,29,7,LJ-1800,INT
743172,4,11,36,2,3,6,MM-0050,RUSH
743190,4,4,33,3,3,7,MB-3862,RUSH
743229,1,3,10,3,40,7,RS-0975,REC
743291,3,11,32,1,9,7,JS-6700,REC
743440,3,10,39,1,6,7,TM-3150,RUSH
743466,3,0,22,3,32,7,JN-0900,REC
743580,2,1,46,2,12,7,JW-6000,REC
743727,2,4,13,1,18,7,SD-0537,REC
743745,2,0,7,3,2,6,SD-0537,REC
743786,4,12,57,3,15,7,KR-1200,REC
743818,4,2,0,2,8,7,CF-0650,REC
743852,1,4,58,3,5,7,BF-0950,REC
743864,2,15,0,2,11,7,MG-1150,REC
743886,2,5,33,2,1,7,TS-1450,RUSH
743912,3,10,31,3,6,7,BF-0950,REC
743948,4,8,15,1,5,7,KA-0650,REC
743953,4,7,7,1,38,7,TB-1060,REC
744052,2,1,3,3,49,7,DW-1725,RUSH
744164,1,7,42,2,5,7,FG-0200,RUSH
744279,4,7,47,1,45,7,JN-0625,REC
744497,1,0,15,1,13,7,ME-0600,REC
744518,2,7,35,1,1,7,JR-2800,RUSH
744526,2,4,21,3,47,6,RM-1900,INT
744618,4,1,49,3,14,7,DT-1250,REC
744650,1,4,2,1,4,7,TW-1350,RUSH
744677,2,7,24,2,9,7,JA-1025,REC
744685,2,5,4,2,23,7,DN-1225,REC
744710,2,0,5,1,2,7,JM-0200,REC
744821,1,3,10,1,27,7,MB-4550,REC
744835,2,13,35,3,4,7,JS-4750,REC
744897,3,10,0,1,1,6,CH-0525,RUSH
744983,1,10,37,1,19,6,RB-4670,REC
744998,1,5,42,3,53,7,RG-2200,REC
745014,1,0,21,3,13,7,CH-3350,REC
745026,2,11,56,3,5,7,BC-1850,REC
745048,2,4,52,1,2,7,MG-0650,RUSH
745130,4,5,9,1,4,7,CF-0650,REC
745241,3,4,14,1,16,7,AJ-0430,REC
745248,3,1,30,1,53,7,KH-2850,RUSH
745275,4,6,32,2,15,7,TK-0150,REC
745287,4,2,20,1,2,7,KH-2850,RUSH
745302,4,0,14,1,9,7,NA-0050,REC
745407,3,6,43,1,17,7,DH-2450,RUSH
745418,3,2,53,2,1,7,DW-0500,RUSH
745439,4,10,8,1,32,7,JS-4550,REC
745447,4,7,15,2,1,6,LF-0650,RUSH
745455,4,4,17,1,3,7,JF-2950,RUSH
745463,4,2,15,2,7,7,AH-3900,REC
745526,2,5,5,2,1,7,MG-1150,RUSH
745556,3,12,15,2,29,7,KS-2350,REC
745566,3,8,24,2,7,7,AG-0500,REC
745647,1,4,58,1,2,7,MC-2900,REC
745663,2,13,0,3,26,7,MC-2900,REC
745672,2,9,15,3,34,7,JK-0250,REC
745698,2,0,23,3,2,7,ML-2500,RUSH
745724,3,3,39,3,43,7,CP-0750,RUSH
745738,4,12,59,1,52,7,JR-2075,RUSH
745743,4,12,32,1,1,7,MC-2900,REC
745755,4,8,47,3,11,7,JK-0250,REC
745785,1,9,30,1,10,7,ES-0200,REC
745815,2,12,43,2,3,7,DB-5300,REC
745832,2,6,1,3,16,7,CA-0750,REC
745847,2,1,43,1,6,7,ES-0200,REC
745877,3,8,1,3,2,7,VG-0300,REC
745886,3,6,23,2,23,7,CA-0750,RUSH
745907,4,14,32,2,28,7,JW-6000,REC
745951,4,1,12,4,103,7,AT-0100,INT
746104,4,7,13,3,9,6,PR-0150,REC
746152,2,15,0,2,7,7,CT-1220,RUSH
746168,2,10,4,3,1,7,TG-1950,RUSH
746191,2,1,56,2,61,7,CT-1220,RUSH
746216,3,8,54,1,18,7,TG-1950,REC
746266,4,1,55,3,11,7,RG-1650,REC
746282,1,9,55,3,1,7,DF-1875,RUSH
746297,1,3,47,1,1,7,TM-3150,RUSH
746318,2,11,14,2,2,7,DF-1875,RUSH
746355,2,0,24,2,3,7,TC-2050,REC
746362,3,14,17,2,15,7,DT-1970,FUM
746403,4,12,50,4,33,6,DA-0212,REC
746419,4,5,54,1,1,7,TM-3150,REC
746461,1,4,0,3,27,7,MJ-2250,REC
746471,2,15,0,1,18,7,EE-0400,REC
746485,2,8,53,3,7,7,EE-0050,REC
746550,4,13,17,4,88,7,JA-0425,PR
746589,1,14,52,1,3,7,TG-1950,RUSH
746606,1,8,26,3,9,7,BH-1900,RUSH
746617,1,4,37,3,7,7,TG-1950,REC
746672,2,0,55,1,2,7,TG-1950,RUSH
746701,3,5,44,4,1,7,CH-5000,RUSH
746715,3,0,21,3,1,7,SW-0450,REC
746723,4,12,57,1,1,6,GC-0350,REC
746733,4,8,47,3,13,7,SW-0450,REC
746748,4,5,12,3,3,7,TT-0450,REC
746758,4,2,17,4,1,6,CH-5000,RUSH
746796,1,3,39,1,17,7,ML-1500,REC
746832,2,5,0,3,5,7,AH-3900,REC
746873,3,9,49,2,30,7,ML-1500,REC
746882,3,7,51,2,4,7,ML-1500,REC
746899,4,15,0,1,3,7,LF-0650,RUSH
746928,4,3,31,3,6,7,BW-0700,REC
746950,1,8,46,2,4,7,MS-0150,REC
746992,2,5,4,2,1,7,DF-1875,RUSH
747005,2,1,50,1,37,7,GQ-0100,INT
747044,3,4,58,2,11,7,GT-0100,REC
747061,4,15,0,1,40,7,TG-0025,REC
747150,1,0,29,3,5,7,JB-5725,RUSH
747157,2,13,32,2,19,7,DJ-1850,RUSH
747166,2,10,15,3,7,7,JB-5725,RUSH
747180,2,5,27,3,61,7,TH-1850,REC
747191,2,2,46,2,4,7,FG-0200,RUSH
747205,2,0,32,1,1,7,DN-1225,REC
747268,4,7,4,1,11,7,KB-1900,REC
747287,4,2,8,1,1,7,DK-0875,RUSH
747343,2,11,45,3,2,7,AH-3600,REC
747349,2,10,33,1,12,7,JC-2300,RUSH
747411,3,6,25,1,6,7,CC-2100,REC
747481,1,10,37,3,5,7,RG-2200,REC
747505,1,1,57,1,29,7,BE-0350,REC
747520,2,12,33,1,7,7,CH-3350,REC
747536,2,6,26,2,22,7,JC-3350,FUM
747544,2,4,7,1,47,7,CH-3350,REC
747564,3,12,55,1,42,7,BC-2325,REC
747578,3,7,16,2,12,7,RG-1870,REC
747638,4,0,29,1,25,8,BC-2325,REC
747712,2,1,51,2,69,7,RA-1125,REC
747733,3,9,52,1,1,7,BP-1200,RUSH
747799,4,0,6,1,3,6,DP-0350,REC
747830,1,0,29,2,5,7,MT-0875,REC
747855,2,5,48,1,11,7,BC-1850,REC
747880,3,11,18,2,40,7,TG-0900,REC
747902,3,1,26,1,3,7,CN-0500,RUSH
747928,4,4,50,1,25,7,AK-0050,RUSH
747988,2,9,33,3,1,7,LB-0500,RUSH
748043,3,5,19,3,3,7,ZE-0100,REC
748066,4,12,45,1,10,7,OB-0075,REC
748073,4,10,53,2,4,7,OB-0075,REC
748084,4,7,24,2,77,7,SS-1250,REC
748091,4,5,46,1,15,7,CC-2350,RUSH
748138,1,9,13,2,3,7,JH-5575,RUSH
748180,2,5,47,2,7,7,AB-3500,REC
748192,2,0,47,1,2,7,AS-0775,REC
748225,3,6,49,1,1,7,LB-0250,RUSH
748284,5,8,34,1,19,6,JH-5575,RUSH
748292,1,11,1,2,1,7,DC-3550,RUSH
748332,2,10,29,1,2,7,JW-6560,REC
748356,2,0,53,1,17,7,SD-0537,REC
748373,3,12,36,3,59,7,SD-0537,REC
748382,3,8,52,1,15,7,CB-2775,REC
748408,3,0,1,1,25,7,DJ-0200,REC
748525,2,1,21,3,4,7,DB-0500,REC
748545,3,10,15,2,10,7,CC-0750,REC
748552,3,7,47,2,55,7,RM-1500,REC
748564,3,3,57,1,24,7,JS-4550,REC
748573,3,1,49,1,75,7,DM-4300,RUSH
748583,4,14,6,1,27,6,LW-1450,REC
748620,4,1,55,2,8,7,PR-0150,REC
748638,1,9,40,3,10,7,AG-1500,REC
748647,1,7,51,1,1,7,LK-0200,REC
748669,2,12,35,2,6,7,GB-0350,REC
748675,2,10,20,3,75,7,WJ-0150,INT
748714,3,10,0,3,1,7,JN-0900,REC
748779,4,0,21,1,3,7,JN-0900,REC
748800,1,12,9,1,30,7,TH-1750,REC
748814,1,5,37,1,6,7,AW-1650,REC
748825,1,0,12,1,11,7,MG-1150,RUSH
748939,4,2,0,1,69,7,KH-2850,RUSH
748961,1,9,51,3,22,7,CT-1220,REC
749009,2,3,53,3,18,7,VD-0100,REC
749033,3,10,47,1,52,7,JD-2350,REC
749049,3,4,0,2,21,7,JC-4300,REC
749113,1,10,6,3,25,7,JB-6750,REC
749167,2,1,16,1,10,7,DP-2037,RUSH
749188,3,8,42,1,15,7,DB-5300,REC
749204,3,3,21,2,15,7,LF-0200,REC
749221,4,12,3,2,37,7,BB-4100,REC
749244,4,5,3,1,8,7,EE-0250,RUSH
