tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,fp
9047,4524,KC,42,7,7,7,21,8,17,1,188,33,352,35,28,3,0,1,6,262,4,10,4,86,0,0,139,30,6,2,4,0,0,0,0,3,3,112,178,14,10,3,1,23,12,8,3,1,40,0,0,1,1,8,41,3,32,6,31,5,28,14,134,9,36,1,3,2,9,7,62,7,54,13,74,3,25,0,0,4,120,12,161,6,35,10,55,6,84,51,606,18,228,11,69,9,22,9,15,4,5,31,8,66,5,74,9,120,2,6,6,19,16,2,0,357,15,254,0,3,0,10.5,2,8,2.5,11.5,13.5,2,1,1,5,1,3,0,1,4,2,1,6,3,1,68,81,3
9048,4524,NE,27,7,10,10,0,10,11,4,125,36,247,36,16,3,0,0,6,242,1,8,3,49,0,0,55,30,3,3,0,0,2,2,57,6,3,53,151,18,9,7,2,13,5,5,3,5,34,5,33,6,20,9,20,3,11,3,-1,3,8,15,75,13,31,6,19,1,1,11,122,3,20,7,25,10,73,2,27,3,0,8,88,12,108,8,33,8,38,41,292,17,110,11,76,11,61,3,3,10,11,47,12,93,3,16,10,28,16,32,4,5,20,0,0,389,14,232,0,1,0,8,7,7.5,2.5,6.5,15.5,9,6,2,10,3,9,0,0,1,2,0,1,3,0,81,68,1
9049,4525,ARI,23,10,0,7,6,4,15,5,45,18,264,48,27,1,3,1,4,184,1,0,2,46,1,82,55,26.5,3,1,1,1,1,2,53,4,2,10,81,7,4,1,2,21,10,6,5,5,19,5,11,0,0,6,13,0,0,1,1,1,1,8,25,7,17,3,3,1,2,15,88,13,109,13,48,2,24,1,0,3,0,22,106,6,43,6,15,13,105,39,240,23,100,13,93,13,71,8,13,6,7,9,8,20,0,0,5,21,4,6,8,4,5,1,0,342,12,136,0,1,0,9.5,0,9.5,10.5,6,14.5,6,6,4,9,2,3,7,1,5,0,0,3,1,1,75,71,8
9050,4525,DET,35,0,9,6,20,3,15,1,83,28,285,41,29,1,1,0,5,189,3,48,3,49,3,83,100,33.5,5,0,4,1,1,1,58,3,3,25,76,10,6,2,2,20,5,9,6,3,2,5,11,0,0,3,30,0,0,8,26,7,14,20,42,3,10,3,31,1,15,10,38,12,68,11,60,1,16,2,63,3,47,14,144,11,101,3,9,11,38,49,294,9,74,20,134,13,77,11,11,7,5,15,9,18,7,22,8,122,6,9,4,29,7,0,0,476,13,189,0,1,0,8,2.5,5,7.5,4,15,34,3,2,10,5,6,7,1,2,1,0,3,4,1,71,75,16
9051,4526,ATL,23,3,7,3,10,4,12,2,66,25,308,30,21,2,0,0,3,178,2,24,1,11,0,0,73,30.5,2,1,1,0,3,3,113,3,1,13,173,8,3,3,2,16,8,5,3,3,2,4,18,4,27,0,0,4,7,5,6,1,6,11,33,7,26,3,7,1,13,10,67,7,100,10,48,1,0,1,60,1,18,14,113,4,36,3,100,9,44,18,215,13,104,11,73,8,103,6,7,8,6,19,7,47,2,-1,9,119,3,24,2,4,13,0,1,183,10,133,0,0,0,5,3,7,10,6,16,5,2,1,5,1,6,0,0,3,0,0,2,2,1,59,67,5
9052,4526,CHI,17,0,10,0,7,6,11,3,125,19,176,40,26,4,0,0,5,244,3,45,3,70,0,0,40,29.5,2,1,1,0,1,1,54,3,2,72,22,10,5,4,1,14,6,3,5,6,59,1,2,3,7,0,0,2,13,1,2,6,36,11,36,7,76,1,7,0,0,18,57,9,100,12,56,1,0,0,0,0,0,8,40,6,42,9,70,17,61,35,166,16,51,14,54,14,71,8,14,4,4,29,8,29,0,0,19,84,3,15,6,21,37,0,0,253,9,200,1,3,0,4,2,10.5,7.5,4.5,12.5,3,2,2,6,1,3,0,0,2,0,0,1,1,0,67,59,2
9053,4527,BAL,20,3,14,3,0,8,5,4,157,42,111,17,9,1,1,0,6,250,3,23,0,0,4,69,85,34,2,1,1,0,2,2,50,3,1,38,48,19,9,6,4,5,1,2,2,7,24,10,25,11,51,4,8,4,20,3,11,3,18,20,57,14,56,8,44,0,0,7,33,8,88,1,0,0,0,0,0,1,0,9,69,0,0,3,19,5,33,22,184,5,19,7,46,6,46,2,6,1,6,15,8,51,0,0,0,0,4,10,5,8,10,3,1,386,13,236,0,1,0,5,1,10.5,9,6.5,11,0,2,2,9,3,8,0,2,5,2,0,2,1,0,66,61,25
9054,4527,CIN,0,0,0,0,0,3,8,3,77,22,144,31,16,5,4,1,5,212,3,14,1,11,1,0,66,26,0,0,0,0,0,0,0,3,0,35,66,8,6,1,1,11,5,3,3,2,-3,0,0,2,5,2,8,7,39,5,13,4,15,14,58,7,17,1,2,1,2,8,63,6,33,9,47,3,0,1,27,2,0,15,98,6,11,2,9,6,52,40,213,12,80,11,27,13,37,6,8,2,6,25,5,5,0,0,0,0,3,5,7,5,26,0,0,369,12,189,0,2,0,12,1,18.5,4,10.5,4,0,2,1,8,3,5,0,1,3,0,1,3,2,0,61,66,4
9055,4528,JAC,29,3,16,7,3,7,8,4,157,41,125,21,11,0,0,0,4,187,1,7,0,0,1,67,89,30,3,1,1,1,3,4,105,4,2,72,20,17,10,6,1,11,7,1,3,1,15,1,9,4,11,12,27,11,36,6,53,2,6,19,88,15,64,3,5,1,15,6,64,2,22,9,19,4,20,0,0,0,0,5,17,7,54,3,18,6,36,19,124,7,66,4,18,10,41,1,7,3,10,66,8,73,0,0,0,0,9,14,3,10,0,1.5,0,420,11,146,1,0,0,9.5,8.5,8,6.5,5.5,13,0,4,2,6,2,7,7,1,1,0,1,5,2,0,64,79,28
9056,4528,HOU,7,0,0,7,0,4,11,8,93,23,110,36,19,10,1,3,5,216,1,21,1,24,0,0,94,30,1,0,1,0,0,0,0,2,1,0,26,14,10,2,2,16,6,7,3,2,8,5,20,3,10,6,26,0,0,7,29,0,0,16,71,5,10,2,12,2,16,11,46,8,76,11,42,2,0,1,0,3,0,16,55,3,0,10,60,7,49,47,165,15,49,20,49,11,12,5,11,3,5,11,7,12,0,0,0,0,0,0,6,11,54,0,0,318,12,209,0,2,0,9,1,13,2,14,6,25,2,2,7,1,4,0,0,4,0,1,3,1,0,79,64,0
9057,4529,NYJ,12,0,6,6,0,2,8,1,39,16,176,39,26,1,2,0,6,297,3,27,2,45,1,48,62,27,1,1,0,0,2,2,100,1,1,11,46,4,1,1,2,15,6,6,3,0,0,0,0,4,17,7,20,0,0,3,2,0,0,7,15,5,12,2,12,1,1,16,67,7,69,12,26,2,25,0,0,1,0,17,81,5,10,5,59,11,37,39,210,14,49,13,66,13,61,15,8,3,2,3,4,13,0,0,0,0,1,1,3,8,11,2,0,356,12,262,0,2,0,13.5,0,13.5,11,11,5,0,4,2,10,3,5,0,0,4,0,0,2,1,0,58,77,4
9058,4529,BUF,21,0,7,7,7,10,11,2,193,45,218,28,16,2,1,0,6,257,4,35,1,23,2,12,50,33,3,1,2,0,0,1,0,4,3,134,146,15,8,3,4,13,3,6,4,2,11,2,14,7,33,11,56,5,17,9,25,3,37,22,86,10,40,7,67,5,41,9,33,6,117,8,21,3,53,0,0,1,0,7,82,1,1,11,75,8,66,26,225,8,52,13,111,9,55,6,4,6,11,49,11,74,4,31,1,22,8,25,6,7,6,0,1,303,12,210,1,1,0,7.5,2.5,2.5,9.5,3,14,1,2,2,12,4,11,0,1,3,0,0,1,0,2,77,58,9
9059,4530,OAK,26,7,6,3,10,5,16,1,110,30,250,32,22,2,0,0,3,158,2,5,1,41,0,0,49,31.5,2,0,2,0,4,4,167,3,2,26,70,15,8,5,2,19,10,5,4,2,8,6,25,2,2,5,20,5,20,7,28,1,7,16,59,7,40,5,11,1,3,10,50,4,42,15,116,2,36,0,0,1,18,20,145,2,21,5,56,5,40,32,237,13,128,13,77,8,45,4,10,8,7,34,11,75,10,50,5,54,3,8,6,29,12,0,0,293,10,133,1,1,0,6.5,2.5,4.5,5.5,9,17,1,3,1,6,3,5,0,0,2,0,1,0,1,1,66,64,2
9060,4530,TEN,16,7,3,3,3,5,15,1,95,21,255,41,25,1,0,0,4,188,1,5,1,35,0,0,49,28.5,1,1,0,0,3,4,101,3,1,46,70,9,5,4,0,21,7,7,7,5,29,4,4,6,20,2,22,2,6,1,15,1,-1,11,42,8,53,2,0,3,26,7,29,11,78,15,67,3,23,1,19,4,40,19,140,10,24,10,76,2,16,44,369,16,79,14,70,12,106,7,13,5,6,24,6,51,0,0,0,0,3,10,5,21,1,2,0,202,9,163,1,2,0,3.5,1,15,5.5,9.5,13.5,4,3,2,9,4,6,0,1,0,1,0,1,1,1,64,66,2
9061,4531,PHI,30,7,9,3,11,1,17,1,59,25,298,39,26,2,1,1,4,170,0,0,1,8,1,15,76,34.5,3,0,2,1,3,3,129,1,1,0,135,9,6,3,0,21,8,5,8,6,9,1,2,2,7,4,11,3,6,4,11,3,13,13,39,8,20,2,0,3,7,8,95,9,64,13,67,4,81,4,0,0,0,18,154,0,0,10,104,10,49,38,233,16,86,13,71,12,141,7,14,5,8,24,8,94,7,12,7,55,2,8,3,6,9,0,0,381,12,167,0,1,0,5.5,4,4,6,7.5,16,3,2,1,10,6,7,8,1,0,2,1,1,1,2,68,63,20
9062,4531,WAS,17,0,14,3,0,3,12,1,64,17,200,40,23,4,1,3,4,162,2,3,4,77,1,24,15,25.5,2,0,1,1,1,1,33,2,0,10,91,10,7,2,1,17,5,10,2,4,16,1,-1,2,5,2,17,0,0,4,14,4,13,11,41,5,19,1,4,4,30,13,94,13,109,7,21,1,16,2,0,4,0,7,14,18,138,9,36,6,52,35,186,14,14,19,161,11,25,7,12,4,5,16,9,31,1,2,11,45,0,0,6,5,40,1.5,0,261,10,162,0,2,0,5.5,0.5,11,11,4.5,13.5,4,2,1,10,2,4,7,0,2,0,2,0,0,0,63,68,12
9063,4532,PIT,21,7,7,7,0,1,13,2,38,25,255,36,24,1,1,0,6,275,3,32,1,4,1,17,144,29,3,0,2,0,0,0,0,2,2,15,88,4,2,2,0,17,9,3,5,0,0,0,0,3,9,0,0,9,17,2,17,0,0,7,25,5,18,2,0,0,0,7,36,8,27,17,112,2,38,1,0,1,50,17,196,4,11,9,41,6,15,46,307,17,99,10,101,10,55,8,11,5,1,0,5,14,1,15,2,46,3,11,4,16,8,2,1,208,10,241,0,0,0,9.5,5.5,11.5,4,3,16.5,3,2,1,6,1,4,0,0,5,1,0,2,4,0,60,66,18
9064,4532,CLE,18,7,0,3,8,3,12,5,57,25,180,30,20,7,1,0,6,242,3,34,1,14,1,30,61,31,2,1,1,0,1,1,24,3,2,11,96,9,5,3,1,16,6,6,4,2,2,1,2,6,10,3,5,8,30,1,-9,4,17,15,37,6,2,4,18,5,17,9,43,5,48,6,60,1,0,3,19,6,52,9,66,10,74,2,20,9,62,48,221,13,83,14,50,10,47,4,11,5,13,21,9,34,0,0,0,0,5,17,4,2,42,0,0,315,11,180,0,2,0,4.5,2,6.5,7.5,3,12.5,15,4,3,9,2,4,0,1,1,0,0,2,0,0,66,60,3
9065,4533,IND,9,3,0,0,6,3,6,1,76,25,150,21,11,4,2,1,6,302,3,0,0,0,0,0,20,25.5,1,1,0,0,1,2,20,2,1,40,144,8,6,2,0,7,3,4,0,0,0,3,6,4,9,10,23,1,-2,3,12,2,25,14,61,9,12,0,0,1,3,7,25,3,3,7,69,2,82,0,0,2,0,11,107,4,4,3,41,3,27,26,103,8,64,6,105,11,-12,3,2,6,8,29,6,71,0,0,0,0,4,4,2,0,29,0,0,347,16,287,0,1,0,11,2,6.5,5,10.5,15,0,2,0,6,0,7,0,1,1,0,1,1,1,1,50,65,0
9066,4533,LA,46,10,17,10,9,5,13,1,66,40,310,30,22,1,0,1,5,218,3,15,2,48,2,68,50,34.5,5,2,1,2,3,3,129,4,3,12,186,9,4,3,2,17,7,6,4,4,-7,1,1,3,6,9,18,3,8,0,0,10,44,16,38,11,20,3,12,1,2,9,80,4,32,11,70,3,90,1,18,2,28,11,118,7,76,6,68,6,56,26,190,11,135,9,103,11,72,4,9,9,7,22,7,51,0,0,0,0,5,13,2,27,8,0,0,429,12,218,0,5,0,10.5,5,5.5,1.5,6,8.5,1,2,2,8,2,9,16,3,5,0,0,1,1,0,65,50,28
9067,4534,CAR,23,7,6,10,0,9,8,3,119,41,171,24,14,0,1,1,3,155,3,7,0,0,1,23,40,34.5,2,0,2,0,3,3,95,3,1,21,65,16,7,5,4,11,4,4,3,10,30,4,8,2,5,11,47,2,5,3,12,3,12,18,42,12,46,5,31,3,6,6,15,3,0,10,74,3,65,1,17,1,0,7,45,3,53,5,18,9,55,33,267,9,35,8,65,7,71,4,4,6,6,17,7,48,0,0,0,0,4,8,1,9,0,2,0,371,11,146,0,1,0,4.5,4,6.5,8.5,4,15.5,0,2,1,7,4,6,0,1,2,0,0,2,0,1,67,57,15
9068,4534,SF,3,0,0,3,0,2,10,1,51,15,166,35,24,4,1,1,4,163,1,9,0,0,1,37,74,25.5,0,0,0,0,1,1,44,1,0,30,43,4,4,0,0,18,7,8,3,2,13,3,10,2,7,4,16,1,1,0,0,3,4,10,52,2,-4,3,3,1,-5,13,77,4,23,15,93,2,0,0,0,1,0,16,102,3,15,6,27,10,49,19,82,13,66,14,67,12,33,9,13,2,6,43,8,33,0,0,0,0,2,-5,4,20,27,0,0,301,10,156,0,1,0,13.5,2,11,3,10.5,6,2,4,0,4,0,4,0,3,1,3,1,1,2,0,57,67,4
9069,4535,SEA,9,0,3,3,3,3,8,1,90,18,135,27,14,3,0,1,6,275,1,7,3,91,1,24,50,21,0,0,0,0,3,3,95,2,0,70,62,7,3,3,1,12,8,2,2,4,-1,2,0,0,0,7,90,0,0,2,4,3,-3,10,62,7,24,1,4,2,40,9,57,6,22,5,17,5,28,0,0,2,34,11,122,6,8,9,18,1,10,27,197,12,112,7,13,11,10,2,10,2,5,3,4,0,1,0,2,7,2,-3,5,8,23,1,0,275,10,275,0,3,0,7.5,3,10.5,5.5,5,22.5,5,2,1,6,0,9,0,1,0,1,3,4,0,2,49,82,7
9070,4535,GB,17,0,0,14,3,8,16,2,87,31,286,42,28,4,1,0,5,219,2,0,0,0,0,0,70,39,2,1,1,0,1,1,40,1,1,13,128,11,3,5,3,23,10,7,6,5,17,8,36,1,1,5,18,2,2,2,6,2,7,12,32,9,31,4,24,4,24,14,116,9,80,13,62,4,0,1,32,1,21,25,203,7,47,10,61,0,0,42,241,19,91,16,98,11,97,8,15,5,6,19,12,79,9,26,11,83,1,6,0,0,25,1.5,0,259,11,212,0,1,0,5,1.5,5,1.5,8,14,7,2,2,9,3,6,0,1,3,3,1,1,3,0,82,49,9
9071,4536,NYG,3,0,0,3,0,2,10,1,36,13,198,38,29,3,1,0,6,269,1,1,2,42,0,0,55,26,0,0,0,0,1,1,25,1,0,12,53,3,2,0,1,20,6,10,4,1,6,3,9,1,1,3,16,2,1,0,0,1,3,9,29,1,3,1,4,0,0,10,76,10,62,16,60,1,0,0,0,1,22,12,54,6,54,6,53,14,59,33,135,12,57,17,84,12,57,13,13,3,1,3,5,1,0,0,0,0,2,3,3,6,22,0,0,160,10,249,1,0,0,13.5,1,10,11,7.5,9,4,3,2,5,1,1,0,1,3,2,0,1,0,0,57,74,2
9072,4536,DAL,19,3,13,0,3,9,12,1,129,31,263,38,24,1,0,0,4,139,1,0,2,42,1,0,50,34,1,0,1,0,4,4,147,4,1,27,118,17,8,7,2,19,7,6,6,3,24,6,27,1,5,9,45,2,8,7,10,3,10,16,75,12,47,3,7,3,24,11,131,5,35,18,72,2,0,0,0,2,30,21,143,3,30,9,59,5,36,32,259,14,59,13,119,12,85,7,12,5,10,40,16,96,0,0,0,0,4,-8,5,15,5,0,0,265,9,138,0,4,0,3,6.5,7.5,9,0.5,16.5,7,3,2,7,3,6,0,1,3,0,0,0,1,0,74,57,12
9073,4537,NO,19,3,3,3,10,3,14,2,60,21,284,37,27,1,0,0,3,171,1,0,3,57,0,0,52,28.5,1,0,1,0,4,4,108,5,1,0,103,6,3,3,0,23,12,7,4,1,2,1,2,2,5,8,17,2,8,5,20,2,6,10,36,10,21,1,3,0,0,12,97,3,26,17,65,3,27,1,24,1,52,13,98,6,65,6,54,12,74,34,194,16,172,12,69,10,43,6,16,5,9,28,5,34,0,0,0,0,6,11,8,33,7,0,0,179,8,160,0,1,0,6.5,2.5,15.5,6,6,16.5,4,3,1,4,1,3,0,1,2,0,0,2,3,0,62,65,0
9074,4537,MIN,29,3,13,3,10,5,14,4,131,33,341,32,27,1,0,0,2,87,2,11,4,108,0,0,50,31.5,3,0,3,0,3,3,101,6,3,95,226,9,4,2,3,21,8,7,6,5,11,3,6,4,11,10,27,0,0,1,1,5,76,15,32,10,47,3,53,0,0,7,51,7,25,9,51,1,35,1,44,7,140,18,250,3,28,3,26,8,42,33,390,11,100,11,138,11,103,10,7,10,5,11,8,37,0,0,0,0,4,6,9,46,5,0,0,224,9,87,0,1,0,9,1,6,6,6,20,2,2,2,9,5,11,0,1,1,0,1,2,2,0,65,62,2
9075,4538,LAC,21,0,7,0,14,3,12,2,64,22,185,33,22,1,1,0,5,230,1,3,0,0,1,4,40,26,3,0,3,0,0,1,0,2,2,31,38,6,3,2,1,16,6,7,3,0,0,5,18,2,23,12,19,1,0,1,2,1,2,13,44,6,20,3,0,0,0,13,56,8,62,9,36,3,38,0,0,0,0,17,89,4,43,3,17,9,43,43,235,11,84,12,68,11,33,6,15,1,8,41,4,9,2,2,9,26,2,4,3,27,7,0,0,348,12,182,0,2,0,10,6,19.5,5.5,4.5,5.5,7,6,3,5,1,7,0,1,0,1,1,0,2,0,59,69,8
9076,4538,DEN,24,7,7,10,0,7,14,1,141,37,181,28,17,4,1,1,3,144,3,48,1,36,1,0,62,34,3,1,2,0,1,2,20,5,3,41,113,15,7,7,1,16,5,4,7,1,12,2,23,4,13,13,47,4,12,6,25,5,9,20,83,13,52,2,6,5,20,13,54,4,33,7,59,1,0,0,0,3,73,14,93,4,21,6,98,4,7,34,235,9,86,10,39,13,56,3,10,4,8,32,11,51,3,10,4,25,12,27,7,12,38,1,0,382,12,147,0,1,0,8,1,5.5,8.5,8.5,8.5,0,2,1,9,4,7,0,0,1,1,0,2,0,0,69,59,11
